name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Dive - Recorded At Sound Stage Nashville,0.671,0.742,0.363,1.43e-06,0.145,-8.188,0.0282,130.921,0.351,3
Castle On The Hill - Recorded at Sound Stage Nashville,0.117,0.671,0.544,3.12e-05,0.149,-8.621,0.0306,132.953,0.568,4
East Bound And Down,0.0418,0.62,0.974,1.54e-05,0.339,-4.175,0.0717,118.065,0.71,4
This Old Heart,0.0316,0.627,0.742,0.0,0.237,-5.191,0.0264,125.015,0.659,4
Tougher Than The Rest - Recorded At Sound Stage Studios Nashville,0.0494,0.6,0.496,0.0016,0.256,-9.594,0.0247,100.511,0.516,4
Drink A Beer,0.824,0.564,0.413,4.3e-05,0.187,-7.684,0.0351,78.103,0.28,4
All My Friends Say,0.0439,0.683,0.9,0.0,0.177,-4.422,0.0333,117.036,0.962,4
Friends,0.056,0.67,0.874,3.6e-06,0.28,-5.568,0.0293,108.851,0.601,4
Don't Tempt Me,0.00965,0.557,0.844,0.0,0.0536,-4.623,0.0376,147.079,0.756,3
Fix a Drink,0.0297,0.563,0.887,0.0,0.352,-5.013,0.0857,158.05,0.794,4
Love Ain't,0.00566,0.6,0.851,9.78e-06,0.0891,-4.645,0.0388,98.007,0.727,4
Drunk On You,0.178,0.558,0.872,0.0,0.173,-4.401,0.0449,143.971,0.472,4
Living,0.0153,0.517,0.813,0.0,0.106,-6.325,0.0558,83.005,0.444,4
Some Of It,0.341,0.56,0.736,9.81e-06,0.155,-7.306,0.0446,79.843,0.824,4
Goodbye In Telluride,0.217,0.662,0.596,0.0,0.147,-6.733,0.0385,101.016,0.625,4
This I Gotta See,0.115,0.597,0.687,0.0,0.12,-5.421,0.0242,82.019,0.46,4
Tip of My Tongue,0.0821,0.669,0.56,0.0,0.0703,-5.003,0.0251,95.0,0.49,4
You Make It Easy,0.143,0.375,0.574,0.0,0.11,-5.305,0.0315,132.025,0.406,3
My Religion,0.81,0.488,0.379,4.01e-05,0.0714,-10.511,0.0494,85.634,0.237,4
Grow Old,0.433,0.632,0.725,0.0,0.0992,-5.711,0.0275,139.86,0.449,4
That Old Truck,0.388,0.601,0.635,2.02e-05,0.187,-7.248,0.032,93.466,0.629,4
Kiss Tomorrow Goodbye,0.0064,0.571,0.937,0.0,0.316,-3.467,0.0365,115.013,0.584,4
How Am I Doin',0.125,0.528,0.871,0.0,0.23,-8.01,0.122,181.903,0.675,4
"Woman, Amen",0.000837,0.484,0.804,9.29e-06,0.17,-5.889,0.0912,119.838,0.391,4
One Way,0.0303,0.646,0.7,1.57e-05,0.178,-7.258,0.0404,116.937,0.567,4
Travelin' Light,0.0916,0.494,0.891,1.85e-06,0.244,-5.633,0.0757,176.034,0.746,4
How I'm Going Out,0.334,0.562,0.628,4.33e-05,0.0775,-7.99,0.0316,80.966,0.621,4
Knee Deep (feat. Jimmy Buffett),0.432,0.715,0.584,1.41e-06,0.095,-8.231,0.0296,90.987,0.61,4
Why Don't We Just Dance,0.42,0.677,0.776,0.000689,0.0954,-5.933,0.0386,121.834,0.642,4
American Remains,0.47,0.683,0.495,6.98e-05,0.157,-13.877,0.0422,102.0,0.528,4
Brother Jukebox,0.191,0.632,0.615,0.00103,0.153,-10.972,0.0262,141.073,0.912,4
It's A Great Day To Be Alive,0.246,0.595,0.653,0.0,0.264,-4.935,0.0265,128.93,0.542,4
Meet In the Middle,0.663,0.746,0.443,0.0,0.223,-11.305,0.0359,91.11,0.554,4
Small Town Southern Man,0.12,0.683,0.438,8.49e-06,0.269,-12.433,0.0264,132.951,0.568,4
Drive (For Daddy Gene),0.338,0.713,0.579,0.0,0.174,-8.066,0.0413,125.179,0.511,4
Take It Easy - 2006 Remaster,0.0116,0.632,0.876,0.0,0.0537,-5.21,0.0276,140.967,0.738,4
The Good Stuff,0.255,0.612,0.62,0.0,0.129,-9.785,0.0645,143.78,0.502,4
Even Though I'm Leaving,0.235,0.547,0.743,0.0,0.231,-6.064,0.0323,77.9,0.647,4
It's A Little Too Late - 1996 Greatest Hits Version,0.317,0.512,0.909,0.0,0.0681,-7.505,0.0504,172.975,0.791,4
Free And Easy (Down The Road I Go),0.00525,0.557,0.825,0.00164,0.177,-4.657,0.0283,120.017,0.841,4
Heartache On The Dance Floor,0.0563,0.596,0.834,0.0,0.0866,-4.308,0.0474,116.0,0.618,4
Mysteries of the World,0.108,0.548,0.742,0.0,0.0852,-4.757,0.0287,143.966,0.352,4
Wagon Wheel,0.455,0.537,0.66,0.0,0.135,-7.174,0.0296,148.096,0.574,4
Drunk On A Plane,0.00495,0.423,0.73,1.13e-05,0.238,-5.566,0.032,205.972,0.66,4
Give It All We Got Tonight,0.253,0.577,0.649,5.03e-06,0.0798,-7.031,0.027,130.313,0.339,4
Wrapped,0.253,0.586,0.762,0.0,0.109,-4.055,0.0263,114.067,0.59,4
Amarillo by Morning,0.0716,0.653,0.755,0.00277,0.248,-4.622,0.0267,115.525,0.493,4
Some People Do,0.858,0.609,0.227,0.0,0.101,-9.459,0.0381,112.466,0.325,4
Rumor (Bryan Todd Remix),0.167,0.655,0.627,2.72e-06,0.0862,-5.274,0.0417,78.024,0.592,4
My Heart Is a Bar,0.344,0.555,0.577,0.0,0.12,-6.087,0.0264,81.047,0.525,4
People Are Crazy,0.213,0.651,0.699,0.000265,0.12,-5.006,0.0265,141.938,0.36,4
Little Bit of Life,0.292,0.667,0.834,0.0,0.287,-4.743,0.0344,96.944,0.703,4
I Wish Grandpas Never Died,0.036,0.445,0.492,0.0,0.122,-5.717,0.0294,148.013,0.24,4
Georgia Time,0.0403,0.594,0.621,0.0,0.117,-6.23,0.0274,77.005,0.679,4
This Is It,0.254,0.557,0.511,0.0,0.099,-6.788,0.0291,156.042,0.602,4
Blue Collar Boys,0.00823,0.529,0.813,0.0,0.359,-5.517,0.0327,154.068,0.79,4
Better Together,0.826,0.552,0.225,0.0,0.111,-11.501,0.0477,138.002,0.67,4
Nothing Like You,0.355,0.62,0.443,0.0,0.108,-7.984,0.028,141.976,0.339,4
"1, 2 Many",0.0397,0.54,0.821,0.0,0.423,-3.789,0.0875,148.791,0.685,4
What You See Is What You Get,0.0636,0.593,0.805,0.0,0.226,-4.892,0.0346,103.955,0.845,4
A Long Way,0.0194,0.483,0.713,0.000144,0.316,-5.027,0.0295,161.903,0.595,4
Chasin' You,0.657,0.631,0.591,0.0,0.11,-5.785,0.0277,97.074,0.489,4
Break Up More Often,0.0731,0.602,0.562,6.63e-06,0.102,-5.847,0.028,146.063,0.542,4
Blessings,0.737,0.466,0.672,0.0,0.0858,-5.926,0.036,89.081,0.334,4
Chattahoochee,0.362,0.606,0.706,0.0,0.16,-9.665,0.0379,174.533,0.819,4
"Big, Big Plans",0.076,0.574,0.58,0.0,0.12,-6.091,0.0278,149.974,0.4,4
America's Sweetheart,0.0208,0.528,0.928,5.75e-06,0.376,-3.925,0.0666,128.01,0.4,4
I Just Wanted You To Know,0.194,0.588,0.578,2.13e-06,0.172,-11.958,0.0257,145.268,0.797,4
Speak to a Girl,0.641,0.466,0.504,0.0,0.226,-7.456,0.0396,151.719,0.222,3
She Gone,0.000755,0.606,0.88,2.9e-05,0.324,-3.907,0.0457,134.011,0.718,4
"Take Me Home, Country Roads",0.546,0.255,0.43,1.87e-05,0.188,-12.564,0.0322,164.267,0.546,4
Tequila Little Time,0.0375,0.757,0.705,5.8e-06,0.114,-5.084,0.0252,104.972,0.855,4
Buy That Man A Beer,0.0651,0.537,0.79,9.35e-05,0.109,-3.587,0.0314,201.946,0.964,4
Nobody Leaves A Girl Like That,0.0345,0.644,0.849,0.0,0.155,-3.652,0.0346,97.963,0.824,4
Starlight,0.0481,0.644,0.657,0.0,0.332,-5.506,0.0253,99.966,0.53,4
Me And Jack,0.0219,0.384,0.958,3.03e-05,0.272,-3.018,0.0598,107.048,0.749,4
Old Hat,0.086,0.6,0.848,0.0,0.0651,-3.865,0.0358,149.96,0.784,4
Cold Hearted,0.413,0.399,0.463,1.83e-05,0.0739,-6.528,0.0263,166.003,0.327,4
Party Crowd,0.0379,0.758,0.655,0.0,0.0795,-11.661,0.0292,127.141,0.767,4
Mud On the Tires,0.294,0.448,0.824,3.81e-05,0.662,-5.508,0.0478,185.217,0.463,4
Used to You,0.336,0.58,0.587,0.0,0.355,-6.965,0.029,139.929,0.246,4
Fast Hearts And Slow Towns,0.297,0.566,0.794,2.08e-05,0.132,-5.905,0.029,114.007,0.361,4
Altitude Adjustment,0.136,0.619,0.913,0.0,0.177,-4.335,0.0416,125.015,0.884,4
Somewhere On The Wind,0.0941,0.341,0.839,0.0,0.105,-6.586,0.0485,203.978,0.606,4
Brand New Man - with Luke Combs,0.00283,0.573,0.847,7.42e-05,0.204,-4.878,0.0349,127.06,0.609,4
Summer Nights,0.0163,0.541,0.895,0.0,0.571,-4.884,0.0367,102.078,0.657,4
What I See,0.0496,0.531,0.637,0.0,0.178,-6.77,0.0279,78.01,0.461,4
American Nights,0.13,0.464,0.814,0.000278,0.13,-5.012,0.0313,102.986,0.3,4
Monsters,0.513,0.649,0.4,1.18e-06,0.0774,-10.202,0.0455,157.895,0.393,4
I Got Away with You,0.151,0.523,0.467,0.0,0.132,-8.628,0.0297,74.462,0.26,4
Rainy Night Song,0.41,0.524,0.535,0.0,0.141,-6.946,0.0306,147.927,0.347,4
Back On The Backroads,0.0989,0.462,0.811,0.0,0.176,-4.661,0.0349,165.988,0.544,4
