name,uri,genres
Unbreak a Heartache,4ooo7MBVlR7hVYC8SLbZN9,"['country pop', 'red dirt', 'texas country']"
Hole In A Bottle,2QtZvpEiGKqcwMsF1tUW7B,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
The Life,2OW7KMcLUlU9PwEvX7imqm,"['contemporary country', 'country', 'country road']"
Runnin' Block,3BPge8hHdq2fQIXUJrICcT,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Beautiful Eyes,5X7MVR3eyAb9Y5EJfDXQHC,"['red dirt', 'texas country']"
Call Me Country,111L2CcGRbWfDLSO3tclyK,"['contemporary country', 'country', 'country road', 'modern country rock']"
Lady May,3t5OV1asJHmOlf23T08CLv,"['kentucky indie', 'kentucky roots', 'outlaw country']"
Good Day,76XWHO6yy7a097yBT7DXVm,"['contemporary country', 'country', 'country road', 'modern country rock']"
Magnolia,2TKTMnErKNBjVprlJ9b2lk,"['contemporary country', 'country', 'country road', 'modern country rock']"
The One I Loved Back Then,7ptBt26CVdYqKLGLIuffNZ,"['contemporary country', 'country', 'country road', 'country rock']"
Alright,5JlH51YDYsGj2dyEJKKjcN,"['contemporary country', 'country', 'country road']"
Where the Heart Is,4qaBHFw6eN6Oxa7gBXOvxv,"['contemporary country', 'country', 'country road', 'modern country rock']"
Keep The Wolves Away,1u7J5sEfgOVRt5bkfU2oGV,"['roots rock', 'texas country']"
Why We Drink,4lSfhHd5Knwl8yQw2cVjAD,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
The Man Who Loves You The Most,58DvikiJcEjow3Skg80yxX,"['contemporary country', 'country', 'country road', 'modern country rock']"
Nothing Compares 2 U,3buDqvj0SE6DfYjyKmtrJi,"['contemporary country', 'country', 'country road', 'modern country rock']"
7 Summers,0Z0kNthq0sS4lvGz9SSlBF,['contemporary country']
The Ones That Didn’t Make It Back Home,6Vmb8Ru0BvjWGozOVGApRd,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
No Hurry,5YrMcUZoNXlUCfwgnfocgL,"['contemporary country', 'country', 'country road', 'modern country rock']"
Real Men Love Jesus,4PUd2AwQAWY05WWR5qxig9,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Angel Eyes,63w0QA1wiV7QhF9jeiHETF,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
"Easy Come, Easy Go",5F44F2EaNa5dpHNQaN8ya1,"['contemporary country', 'country', 'country road', 'country rock']"
The Woman with You,38svIEZx14taLmeQQfMFDv,"['contemporary country', 'country', 'country road']"
Joe's Place,5qkrQxsXDGN12FXvdRGpDX,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
Where I'm From,0VeI4Zyirc6yuJ4P7fudjE,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
Can't Get Away from a Good Time,5A8DxtqDRSfsCDC10GuRyr,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
This Bar,7oSq5fbsFkTS9zeJQwMihf,['contemporary country']
Happy Does,2v08cjj3Th8RpfJgluECcj,"['contemporary country', 'country', 'country road']"
Love Your Love The Most,6HLciiLMPssno4lT4gbObT,"['contemporary country', 'country', 'country road']"
Me My Bottle And Nothing But Time,7s1WlGCzwg7etob1Lpetp1,['roots americana']
Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z,"['contemporary country', 'country', 'country road', 'texas country']"
Over When It's Over,59FhRUTbBuT05t8w1dvWLI,"['contemporary country', 'country', 'country road']"
A Little Bit Trouble,5b7F5Dz5LjxMGvU3n2vqc5,"['contemporary country', 'country', 'country road', 'modern country rock']"
Jesus And Wranglers,0vgoslYFyEhs1qKMLJWg9Y,"['contemporary country', 'country road']"
Still Out There Running,4nXmBb2s8Mmkq2hGskHxiq,"['funk', 'indie folk', 'modern blues rock', 'new americana', 'rock', 'stomp and holler']"
Atlantic City,4JwjzS9WFkWlpzGCwh82fn,"['modern rock', 'rock']"
Young Man's Blues,6ywiHcxaHBR39gRhud37XK,"['contemporary country', 'texas country']"
Like A Cowboy,13bXmY0acm51KkgEdhCm1n,"['contemporary country', 'texas country']"
Porch Swing Angel,50QL2fqn6EDwpBUJ5QaQ4m,"['contemporary country', 'country pop']"
Rolling Stone,5pwotNGfCggJh0CtGT0A9I,"['modern southern rock', 'texas country']"
Without You,34slXA5D75T5S0dwYYRd4J,['contemporary country']
All Your Life,2khs94jHAVzUm3Pu4mAMmv,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
Starting Over,3TNSVsiFngfe68UJpMq1oS,"['contemporary country', 'outlaw country']"
Bury Me In Dixie,7KFbFqfBxqRtSSwkA874iv,"['contemporary country', 'country road']"
One Of Those Nights,3ZHjQSfJ46zjFbt79MAqD2,"['pop', 'post-teen pop']"
So Much Like My Dad,4FWUrFsTpMY758QPEA2M2c,"['contemporary country', 'country', 'country road', 'country rock']"
Behind The Times,53ZRA4ZJg5zBUtByHfhSac,"['contemporary country', 'country road']"
Stone,4rJesaufMl2xD0f2G8Xgnd,"['modern southern rock', 'texas country']"
Bar Downtown,4OTkPCAqMeRgQCAvAcfPYn,"['contemporary country', 'country', 'country road', 'modern country rock']"
Beer Light,4TT4e9GczkEUx1YDgJnsMk,"['contemporary country', 'country', 'country road', 'modern country rock']"
Happy Anywhere (feat. Gwen Stefani),2DwbFtfC6sXBiVDPmju8Dd,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Feathered Indians,2tgQaL85WoRfgEa4hFQgrE,"['kentucky indie', 'kentucky roots', 'outlaw country']"
If the World Had a Front Porch,7AW2WsM8dc5pmXIgdn2SpC,"['arkansas country', 'contemporary country', 'country', 'country road', 'country rock']"
Baseball on the Moon,5YBblhstMENuUkLpIIfgU3,['roots americana']
Forever After All,6IBcOGPsniK3Pso1wHIhew,['contemporary country']
Change My Mind,1HhvADMkoWcqxsOVXsaO35,"['red dirt', 'texas country']"
Pretty Heart,6vC90OOjZR165Hw8CpsqEm,"['contemporary country', 'texas country']"
I Got A Car,4Fpq4QkR06QRDkujBUk0JY,"['contemporary country', 'country', 'country road', 'country rock']"
She Don't Love You,1B17jo7XD3lJ9AtrdE9kUd,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Make Her Fall In Love With Me Song,3lEfWXVeo02PI4QaX5ocV9,"['contemporary country', 'country', 'country road', 'country rock']"
Pretty Good At Drinkin' Beer,6a7wXoZOARI8IqEXObjhDz,"['contemporary country', 'country', 'country road', 'modern country rock']"
I'm Not Alright,3PURovRKyJaBmgzPfmMJ4O,"['contemporary country', 'country', 'country road']"
Dance or Drink,5EdwvDm3PZu5BmYkzcexVw,"['contemporary country', 'country', 'country road']"
Steady as She Goes,5tqOpDfDfForWXOlJsaDgs,"['contemporary country', 'country', 'country road']"
Where Rainbows Never Die,2gE58DQyqgsvsK87SWUN62,"['bluegrass', 'indie folk', 'neo-traditional bluegrass', 'new americana', 'progressive bluegrass']"
Can You Run,2kuHnZDirrymIRYKkjTn56,"['bluegrass', 'indie folk', 'neo-traditional bluegrass', 'new americana', 'progressive bluegrass']"
Wildfire,6VfY0sgS4j4JpFQH8kk4XA,"['deep new americana', 'new americana', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']"
Virginia,0sQkMsh3ojWIw7CIGsXArG,"['modern southern rock', 'texas country']"
Diamonds & Gasoline,2nAHmQV9WKA6c1emQilxih,['red dirt']
Take Me To The Bottom,04FdD1nYNw8tB9CD7aNp91,['modern southern rock']
If It Hadn't Been For Love,7DQjWFjaiPULrsqgsZueF3,"['bluegrass', 'indie folk', 'neo-traditional bluegrass', 'new americana', 'progressive bluegrass']"
Livin’ The Dream,2L4YgbxxwmwafMqLIjSx8q,['contemporary country']
Stand Alone,5Gy4y79aKl44KZ2BpmgY7P,['contemporary country']
Sleep When We're Dead,77Q8V48a8jGsghvaVNWMaP,['contemporary country']
Spin You Around,1yj1ZztSGITJ5Nf4mfH92c,['contemporary country']
The Best Day,3fzDcbJZC7HoTHeH2Z1R4A,"['contemporary country', 'country', 'country road', 'country rock']"
You're Gonna Love Me,35rmHNANlX5bZBlrMMMEib,['modern country rock']
Me Neither,6A426nfNHDuTDs1uY0W0NF,"['contemporary country', 'country', 'country road']"
Little Rain,51T2SPBH4YjbrFJE94NJT6,['contemporary country']
Traveller,178OI1A3qjROeFeh8lmNwW,"['contemporary country', 'outlaw country']"
Fool Hearted Memory,3cPgnLawNeUl9YsZIBdsrs,"['contemporary country', 'country', 'country road', 'country rock']"
I Love This Bar,32jHB7W9b08OTorAqR0cJo,"['contemporary country', 'country', 'country road', 'oklahoma country']"
These Days,5nWgEBtaRwVrCMjer1RtLm,"['contemporary country', 'country', 'country road', 'pop rock']"
Then Again,2PoOVPahdBzzlX8B35XflM,"['country pop', 'country road', 'modern country rock']"
I Called Mama,2oWuBmQtYMx3LEgahIsJvs,"['pop', 'post-teen pop']"
All Around You,2su9lOnI21rEmHdBcWjM2B,"['alternative americana', 'indie folk', 'kentucky roots', 'nashville singer-songwriter', 'new americana', 'outlaw country', 'roots rock']"
Cold Beer With Your Name On It,4U9mtRXs7VaG7kgU4Hpw6h,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
Turtles All the Way Down,4NE3oWyUQI2b2NjyMyC8Bi,"['alternative americana', 'indie folk', 'kentucky roots', 'nashville singer-songwriter', 'new americana', 'outlaw country', 'roots rock']"
Southern Voice,1fgHi1HhKJ6tB41eOWbwVy,"['pop', 'post-teen pop']"
Doing Life With Me,57YkkgxAiusJPMtiSG3w3c,"['contemporary country', 'country', 'country road']"
Three Year Old,579wiJu8HXaGXod6rU3NiB,"['contemporary country', 'country', 'country road']"
Skin (Sarabeth),6RVwPc54fYNOladqLxpxmT,"['contemporary country', 'country', 'country road', 'pop rock']"
You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,"['contemporary country', 'outlaw country']"
Bettin' Man,4wCdeawWseZUYkhN697nX7,"['contemporary country', 'country road']"
Maggie's Song,50QWBrZFAhD6N4B0tbfET9,"['contemporary country', 'outlaw country']"
Silverado For Sale,1AGXmKhp5H6d1B2OwZwQdQ,['contemporary country']
Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,['contemporary country']
Need A Boat,5UmCoA8uugbNcVAfKMW3P2,['contemporary country']
Whiskey’d My Way,6HsXpHn2s6S9arU3Wy7ndc,['contemporary country']
The Great Divide,3q3lSbfT5BnQlIvGwahgAD,['contemporary country']
Your Bartender,1eIoa430A2fLhIVgoxtT9b,['contemporary country']
Somebody’s Problem,7JMUrvUgRCG7HNEywaQcXj,['contemporary country']
Beers And Sunshine,36ISlLb12gKuCCVTYXC0gb,"['contemporary country', 'country', 'country road']"
Bandaid On A Bullet Hole - Bonus,1RvoRAL612adAVrPUoAMHR,['contemporary country']
This Side Of A Dust Cloud - Bonus,0UotfxRXpJwpem9QheCD5a,['contemporary country']
Man Like Me,77LywUODoUWlQJxsKQBpHw,"['contemporary country', 'country road']"
Ticks,736KP0gdltJQWPKk0wVL7l,"['contemporary country', 'country', 'country road']"
Single Saturday Night,1irAliF0T8sLIOPJp6n7rU,"['contemporary country', 'country', 'country road', 'modern country rock']"
Whiskey And Rain,1tf4Bfk8JIKryLpWYRvyiI,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
The Devil Went Down to Georgia,383Xl5QTigwj3QiA3Qc6S7,"['classic rock', 'country', 'country rock', 'southern rock']"
Talkin' Tennessee,7szRiHu6r91o2Po9GTPN4c,['contemporary country']
Summertime,3cE5ltZFHmBpiS77itKaOM,"['contemporary country', 'country', 'country road']"
UNAPOLOGETICALLY COUNTRY AS HELL,45nc69lqKe3kY9sit2UU6G,['contemporary country']
Maybe It's Time,6jMbPsH6lTOLs5n8Af26AG,"['dance pop', 'pop', 'post-teen pop']"
He Loved Her,2lARfYBthlR1HoLpd32SCM,"['contemporary country', 'country pop', 'modern country rock']"
Asking For A Friend,5mXOdtyPOL6GEuZdCyHSsb,"['contemporary country', 'country pop', 'modern country rock']"
She Ain’t Mine No More,4gslR6cfsxNBQ2bpkoSavl,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Right About Me,2BHs75vAJMEf8PHZ0ZUOwU,[]
Joy Of My Life,4EuaDcxHmHKS6gZ5iuGba0,"['contemporary country', 'outlaw country']"
Where Corn Don’t Grow,6jxQfS8A6yz99wXGpGCLzy,"['contemporary country', 'country road']"
Where Corn Don't Grow,0lChO8MEC0eWVBznAMIWE6,"['country', 'country rock', 'outlaw country', 'texas country']"
Undivided,2DINVEELpI3ibUW2EzeDs7,"['pop', 'post-teen pop']"
Hell Of A View,1kBx9VGumfuvlfqdlAGorE,"['contemporary country', 'country', 'country road']"
"Bartenders, etc...",2JyMIeTAb4bGOFa49qFG5y,"['contemporary country', 'country', 'country road', 'modern country rock']"
Joe Bought a Bar,7vCgVAQ0VFf8EqDCfgJK1Y,"['contemporary country', 'country rap', 'redneck']"
Is Anybody Loving You These Days,69u3mt4KCFagJZFmJ3Ged6,"['contemporary country', 'country', 'country road', 'modern country rock']"
Country Folks - Livin' Loud,1P7fYBkHMxj3rQI8rUzIZo,"['country', 'country road', 'modern country rock']"
"Wine, Beer, Whiskey",5avVDmK9FVJpd3MDO8I3Zl,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
Home Run,3WcQxf3f924vU8Ae6GNJ16,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
Lonely One,5w5fbyYHo5129Ce4c7qeWa,['contemporary country']
Life of a Workin' Man,7w7kTTRdZ0huPsJR4UheEA,"['redneck', 'roots americana']"
