name,uri,genres
I Met a Girl,4WtkYdCG4n80h08Ep5SmDI,"['contemporary country', 'country pop', 'modern country rock']"
That's Why God Made Mexico,3T0Q0Lq00xlDtelL6iQ0kf,"['pop', 'post-teen pop']"
Watch The Wind Blow By,6Os7cO6a6UeglnpIKidRjh,"['pop', 'post-teen pop']"
Out Of Sight,1pxdS67xTNTsxDtGzDOiv7,"['contemporary country', 'neo-traditional country', 'texas country']"
What Happens In A Small Town,3g9OCNXY2aSbGRQGY17qVE,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,"['contemporary country', 'country', 'country road']"
Dive - Recorded At Sound Stage Nashville,2VWBdFsDJVGlRTdz4PvYwy,['contemporary country']
Castle On The Hill - Recorded at Sound Stage Nashville,71R7NckyIlOd8fJzoZIJfR,"['contemporary country', 'country', 'country road', 'modern country rock']"
East Bound And Down,5JelBZwTfs9LZAUbeeVbqd,"['contemporary country', 'neo-traditional country', 'texas country']"
This Old Heart,35sSKJFvWxfNCfZFsWoBy2,"['contemporary country', 'neo-traditional country', 'texas country']"
Tougher Than The Rest - Recorded At Sound Stage Studios Nashville,76v3BntynHQflWb5ptBgV4,"['contemporary country', 'neo-traditional country', 'texas country']"
Drink A Beer,3Qj2YJB1KmgXr5SutGokdb,"['contemporary country', 'country', 'country road']"
All My Friends Say,539dFCMA8lfEElDPgGpcIB,"['contemporary country', 'country', 'country road']"
Friends,5cWU0i23BOS8pSwrYWEMS8,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Don't Tempt Me,2JPgcccyZ938uv9AjCGMWq,['contemporary country']
Fix a Drink,0s6OWiWGuiCcm1Muzch5A8,"['contemporary country', 'country', 'country road', 'modern country rock']"
Love Ain't,6uVzeU47Qzg0rrMneP5BNg,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'pop rock', 'texas country']"
Drunk On You,3b7CDTKB0SRTmQ6ytYi5vZ,"['contemporary country', 'country', 'country road']"
Living,54K7AZoGpQklpygKrxZlKN,"['contemporary country', 'country', 'country road', 'modern country rock']"
Some Of It,3d1qN7AHge6BXuVPutcpI5,"['contemporary country', 'country', 'country road']"
Goodbye In Telluride,3CJEbmr6W4evGStck6Whdw,"['contemporary country', 'country', 'country road', 'modern country rock']"
This I Gotta See,4UPXcMdyBzvNFNycwQaO7i,"['contemporary country', 'country', 'country road']"
Tip of My Tongue,40ufL61vEaDaaOitYhnlQ7,"['contemporary country', 'country', 'country road']"
You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,"['contemporary country', 'country', 'country road']"
My Religion,7BK6xn13rJRZ4OCbvAszUk,"['contemporary country', 'country', 'country road', 'modern country rock']"
Grow Old,14KAAbogyA9EJjYUyOJrRB,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
That Old Truck,0kjnvAqQvdjN69aDTGlceq,"['contemporary country', 'country', 'country road', 'modern country rock']"
Kiss Tomorrow Goodbye,4ZF2WDTBVFihfTkxfme8JE,"['contemporary country', 'country', 'country road']"
