name,uri,genres,artist
Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,['brooklyn drill'],50 Cent
Seeing Green (with Drake & Lil Wayne),1TZv3bujNaYz646eezRE91,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",Nicki Minaj
Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,['australian hip hop'],Masked Wolf
Dancing Is What to Do,34xLCJSfCdBPcPxZTRezwS,[],Ray-X
The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Lil Baby
Don't Make Me Wait (with Shaggy),2O1mWcHL30SxpFVpyNi4De,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance']",Sting
Jamaican in New York,2CL1Q0rQcbKavqqzu3zjQ2,"['reggae fusion', 'uk reggae']",Shinehead
I Love Me,5D4368CnI6V8iMVeE8LyQA,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Russ
CIVIL WAR - Bonus,5tmu5pAFHkUSl8Fo8ncyA4,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Russ
Ordinary People,2ZA4uMlSZjaoWGFqP1tsLI,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",John Legend
So We Won't Forget,6dw8ETrtlFSrkzw6W8cWxN,['neo-psychedelic'],Khruangbin
Trap Queen - Afro Remix,1twGm8rVwwibQ7efImtiSI,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Fetty Wap
Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys
Jesus And Wranglers,0vgoslYFyEhs1qKMLJWg9Y,"['contemporary country', 'country road']",Riley Green
Believe,4qv70aZ7svjYnEmNB4rvP0,"['ukrainian pop', 'ukrainian rock']",TVORCHI
Shit Crazy (feat. BIG30),2Kr11rtij0QQAaX6T5e4WB,"['dance pop', 'pop', 'pop rap']",Gucci Mane
BOYFRIEND,5M8ExcJIACOWCEgPfNZNn8,['contemporary country'],HARDY
So Caught Up,0g84356Up4bxwOKVvzq0Kh,['australian americana'],The Teskey Brothers
Pain and Misery,74MhYN5UyyDx0W2cbTUZYo,['australian americana'],The Teskey Brothers
Carry You,6ffJ9jgxnipGi0SBzDAbqY,['australian americana'],The Teskey Brothers
Forever You and Me,4GUaG3df9nbrj77GKEB76j,['australian americana'],The Teskey Brothers
Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
If I Told You,4Az17HfqonKSWNsaLgTBeK,"['contemporary country', 'country', 'country road']",Darius Rucker
Save Your Tears,5QO79kh1waicV47BqGRL3g,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
I'm Up,1qNEYOlDVjTWoINqQ5lQMR,"['chicago rap', 'melodic rap']",YoungBoy Never Broke Again
Ocean Drive,0b6wdul3A5sQNpIOv03OxP,"['dance pop', 'destroy techno', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house', 'uk dance']",Duke Dumont
Black & White,1R0Ig5KYrSGWvIoPzY4T3l,"['chicago rap', 'melodic rap']",Juice WRLD
RAPSTAR,43PGPuHIlVOc04jrZVh9L6,['chicago rap'],Polo G
Real As It Gets (feat. EST Gee),7eX3um6NpOQKWJMGCi97XD,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Lil Baby
Pretty Heart,6vC90OOjZR165Hw8CpsqEm,"['contemporary country', 'texas country']",Parker McCollum
You Still Take Me To The Light,0O3Pb33KINQl8t04jGOrX2,['alternative r&b'],Francis and the Lights
Talking to the Moon,161DnLWsx1i3u1JT05lzqU,"['dance pop', 'pop']",Bruno Mars
Lazy,0ZAPlh9j5ixbKfaMFMN0be,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",Deep Purple
Yellow Eyes,3HOXNIj8NjlgjQiBd3YVIi,"['deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Rayland Baxter
Golden Hour,0pMfPzdRiPAoSM9yWF4OcT,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",Kacey Musgraves
chocolate,42uMZOkB0WPPh55cZYQq6E,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']",Ziggy Alberts
In This Shirt,4d3QT8EyzdU5ShmEM71nRc,['baroque pop'],The Irrepressibles
In My Head (feat. Georgia Ku),2OKhsrfq07zof82QKMoWJ0,"['electropop', 'pop']",Party Favor
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",French Montana
Buzzcut Season,51QEyJI5M7uyd8DOh9tqQY,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",Lorde
Lego House,5ubHAQtKuFfiG4FXfLP804,"['pop', 'uk pop']",Ed Sheeran
Hear My Voice,5WKWQ6mhbNp5M6AY4wTUfM,"['folk-pop', 'nz pop']",Celeste
Afternoon Delight,3uLk0uQ4zMS26h89Of8XOD,['soft rock'],Starland Vocal Band
Where Corn Don’t Grow,6jxQfS8A6yz99wXGpGCLzy,"['contemporary country', 'country road']",Riley Green
Perc Popper,6EeMWRDPBFpboU5DjA7Jrl,"['cali rap', 'trap', 'underground hip hop']",Shoreline Mafia
Rattlin' Bog,2VjrFvthQjw7BS8aS4VdZi,[],Carlyle Fraser
Flower,60rIdEPDrzyLiLC0icp3xz,['meme rap'],Moby
Hippies and Cowboys,72Fnsr9pkCyXCmY3BS7sbx,"['modern southern rock', 'outlaw country', 'texas country']",Cody Jinks
UNAPOLOGETICALLY COUNTRY AS HELL,45nc69lqKe3kY9sit2UU6G,['contemporary country'],HARDY
Bait A Hook,6cAxSUPzHyywECgGSvoLyf,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",Justin Moore
Whitehouse Road,0fbR95FEaJUxiQYaqZZukv,"['kentucky indie', 'kentucky roots', 'outlaw country']",Tyler Childers
Heart Shaped Locket,2iFe8tRYQlVL1cEpBenGHQ,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",Brothers Osborne
The Bull,6mBlft6IhCJwPNKhnbb0wK,"['contemporary country', 'country', 'country road', 'modern country rock']",Kip Moore
Good Lord Lorrie,0pghPocTwFg6ckBUs52SQ8,['red dirt'],Turnpike Troubadours
A Simple Song,1XXl9pl7ObojHbyJetY75n,"['contemporary country', 'outlaw country']",Chris Stapleton
Games Continued (feat. Marie Plassard) - Extended Mix,5pUtrlnTWtIF3x3t1eZ1ki,"['deep euro house', 'minimal tech house', 'new french touch', 'pop dance', 'tropical house']",Bakermat
Games Continued (feat. Marie Plassard) - Radio Edit,64dkTKKNLwbjBuU4xnS2ei,"['deep euro house', 'minimal tech house', 'new french touch', 'pop dance', 'tropical house']",Bakermat
I Can Help,6jA2i54oeB8cq1c3YF2YQG,"['alternative country', 'deep new americana', 'new americana', 'roots americana', 'roots rock']",Charley Crockett
Fishing In The Dark,3i5QyEUyXa9Y7lIklr5sWk,"['country', 'country rock', 'folk', 'folk rock', 'mellow gold', 'roots rock', 'soft rock']",Nitty Gritty Dirt Band
Hey Hey Hey,571lcLQWO5cclITS1FtCM5,"['edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house', 'vocal house']",Chemical Surf
Hey Hey Hey,2C7ybdAVLKrxVmfOXfGhVb,"['pop rock', 'reggae fusion']",Michael Franti & Spearhead
I'm Gonna Miss Her,4ipZsAA3YuqCDSXiPoEGIv,"['contemporary country', 'country pop']",Brad Paisley
Boys 'Round Here (feat. Pistol Annies & Friends),39FwE8edwuyiaa4PrGBkP7,"['contemporary country', 'country', 'country road', 'oklahoma country']",Blake Shelton
Just To See You Smile,2op0kDNARK2VHWHntEeH4g,"['pop', 'post-teen pop']",Tim McGraw
A Country Boy Can Survive,77dcKrzRUI02XjHd2okARp,"['country', 'country road', 'country rock', 'outlaw country']","Hank Williams, Jr."
Comin Out Strong (feat. The Weeknd),1B87ZDrD3Pno9hS4stamWO,[],Future
Mrs.,2R4O7MgIrN35QXnyLKMFVl,"['modern blues', 'soul']",Leon Bridges
Lets Link,6fMzgFFGzWCwiHMzDzNpp5,['viral rap'],WhoHeem
Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,"['pop', 'uk pop']",Ed Sheeran
Make It A Good One,0DchT2mXret5T9JQ8D6CLE,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",Brothers Osborne
26,1SqAcHRKodDP1mxvAqkCvU,"['indie folk', 'new americana', 'stomp and holler']",Caamp
Element,57BGVV6wcyhbn3hsjlqEZB,['brooklyn drill'],Pop Smoke
Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,"['dance pop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",Mary J. Blige
Bad Day Of Fishin',1wqKqX7OcLDp2bL5c4mM4S,"['contemporary country', 'country', 'country road']",Billy Currington
Shaded In (feat. Jordan Léser) - Common Tiger Remix,64e9nWBepKbGusoPu8AmIr,"['alternative r&b', 'electropop', 'etherpop', 'pop', 'post-teen pop', 'r&b']",filous
Attachments,1SedJ3dLWoCqnPIGeEMUJH,"['canadian hip hop', 'melodic rap', 'rap montrealais', 'toronto rap', 'trap']",Pressa
Universal Sound,48nZLOpJOINkICPWpUuhaN,"['kentucky indie', 'kentucky roots', 'outlaw country']",Tyler Childers
Tomorrow,47KDDZgFiX1w6RFOuLXsSn,"['austin americana', 'austindie', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Shakey Graves
Stir It Up,4FNm4ZJaUVLDCMXcqwS6zY,"['reggae', 'roots reggae']",Bob Marley & The Wailers
Drink In My Hand,1cktZnxiONH0hR6Q3DKy8h,"['contemporary country', 'country', 'country road', 'modern country rock']",Eric Church
