name,uri,genres,artist
NBAYOUNGBOAT,6K2anECyrckidwf5wxS78Q,['pop rap'],Lil Yachty
Blue Monday - 2016 Remaster,1RSy7B2vfPi84N80QJ6frX,"['art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",New Order
Vossi Bop,5DXKtoZLm31msT7tNGNHLG,"['pop', 'uk pop']",Stormzy
Forever Yours - Avicii Tribute,3o1CUVeHIid49sabk6A6Nf,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
Motions,1wKOe7u5A4vaBtX5uCk2OU,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie poptimism', 'la pop', 'pop']",Shoffy
Cool Again,0xM6mdl0XX2qOqUZmVUp97,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie poptimism', 'la pop', 'pop']",Shoffy
Calm of the Sea,3M89My7YnyoOfq6TsJw2EI,"['alternative rock', 'modern rock', 'pop rock', 'rock', 'sacramento indie']",SHOR
Sirens,6KRdku38PJZtGbDRZsK8hG,"['alternative rock', 'modern rock', 'pop rock', 'rock', 'sacramento indie']",SHOR
Harmless Heart,07xH1WaaxQzAZkO1GNYk8u,[],Tom Martin
My Thoughts On You,0OkMj0czyhrDCIhOSLFpHK,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",The Band CAMINO
Forever,496cFi1qz79MwI0q6wKh2r,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Wild Heart,6hPYxl1NM4D1XHjYWnk2Y1,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
If I Say,0kCXl1osqLn1lPQGSyB9d8,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Picture You,2Ol7kKQl9x3yCD1vA3B4xh,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Rose Of Sharon,0SwB9nk7EfDUnIGbz7Go9G,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Slip Away,0NT1kKtulqe2aA5h9ECmK8,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
October Skies,3JD5xfa8pgJi0AzdRCRETW,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
The Wild,4W3LpDT8Z1DrlzOrLUkoo4,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Beloved,5V0nHhlYIjUMfcSoJ5ziRD,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
42,1xjIDl9Eh5lBMjIRqMnAZL,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Guiding Light,63J2iqaDDp92P1eZgvuELp,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Heart,1IQgMSRjsLjVw5VZFeWcC0,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",OTR
Glass House,0TLJ5UTC9a4Bh11jSP469H,['nyc pop'],Morgan Saint
Bedroom,3LH6EfPCeySeuymuK2gWAO,['background piano'],Litany
Over My Head (Cable Car),29tIH81yDrPA9N7QdcOPJV,"['metalcore', 'pop punk', 'screamo']",A Day To Remember
Mockingbird,6fS1CEMY4LlvQNWuUMoWEQ,['new americana'],Ruston Kelly
Delta,39r3UkUOYMh9pPQmKSZnuE,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Crazy Beautiful Sexy,3nC688MXGnFDAcL3lU1Ray,"['contemporary country', 'country', 'country road']",Old Dominion
Woman,7pEUVoZDoQg4NQwmMcyjhQ,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Once A Day,26G5nmIx7Yvq79bIIluyZV,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Hands,6CrnvqCxBKVWahSiQwOesM,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
That's On Me,0udOCZp7yk0Ml92C0k8H8D,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Hand Me Downs,2Yv2mHzr5AQavVdwQjEokV,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Woods,3Qa944OTMZkg8DHjET8JQv,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Everybody,1OuN92HcVG6NVpWbeESNB3,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
I Can See,3R8CyhJfVjvgIROd5RSGhQ,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Good News,1DWZUa5Mzf2BwzpHtgbHPY,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Complicated,3WfSNAoj2D8C9noPSGZZFM,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Circles,4jXl6VtkFFKIt3ycUQc5LT,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Surf,1kwnxJNVl7cwcU98RvMBaR,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Blue World,2hwOoMtWPtTSSn6WHV7Vp5,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
Po'ed Up (feat. Gunna),6mdMz0aTPcP4xPz4DOsp0W,"['dark trap', 'emo rap', 'melodic rap', 'sad rap']",Paris Shadows
Tuesday (feat. Drake),2znzyzlAUc8Z1Ikq9aFOcx,"['emo rap', 'lgbtq+ hip hop']",ILOVEMAKONNEN
Love for Love City (with Ziggy Marley),6wrzvEu8Sk7sDf6W9ESVui,"['contemporary country', 'country', 'country road']",Kenny Chesney
Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",Kacey Musgraves
God's Country,1dyxS3YzBbL0t8rEVwVQ1K,"['contemporary country', 'country', 'country road', 'oklahoma country']",Blake Shelton
Bad Bitch,1QPb3sFVfZlcrSHp9skszO,"['bass house', 'brostep', 'edm', 'electro house', 'fidget house', 'house']",Chris Lorenzo
Toes,5kjyiH6but1t2UDXq15aeS,"['contemporary country', 'country', 'country road', 'modern country rock']",Zac Brown Band
0122,7i4RFJsrRRzmxZubkccOIG,['alternative r&b'],Black Grapefruit
Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,"['indie poptimism', 'pop']",Labrinth
Fool of Myself,2m1EQGGjWt8z4rqcjyzFoR,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",The Band CAMINO
The Box,0nbXyq5TXYPCO7pr3N8S4I,"['north carolina hip hop', 'rap']",Roddy Ricch
All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Gryffin
New Year's Day,7DXNTiUCWJvomSGEGMr3H8,['texas country'],Charlie Robison
Drinkin' Problem,2qcHhMi1MQBDEtzy8p4tRR,"['neo-traditional country', 'texas country']",Midland
Lose Yourself,77Ft1RJngppZlq59B6uP0z,"['detroit hip hop', 'hip hop', 'rap']",Eminem
VALENTINO,0c7K73roy6RW4ebDkf4yGh,['cali rap'],24kGoldn
Cowboy Hat,4HdxI4yrlmN2C9GaMD9mxL,"['contemporary country', 'country', 'country road', 'modern country rock']",Jon Pardi
Heartache Medication,6ZvAXIWw3rw8WR0Xlmifri,"['contemporary country', 'country', 'country road', 'modern country rock']",Jon Pardi
Ridin' Roads,5OBtr92M0xsvOGqpnz3LzW,"['contemporary country', 'country', 'country road', 'modern country rock']",Dustin Lynch
Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,['contemporary country'],Luke Combs
Inside of My Eyelids,4Y2QuvgYFm30gcsToZmojA,"['latin', 'salsa', 'tropical']",DLG.
I Want You Back,4CbUtLtAcgLJ7mAIeooJS8,"['motown', 'soul']",The Jackson 5
Rachael's Little Brother,2bH4EXqG4bm7EsKRSKC29R,"['pop', 'uk pop']",Stormzy
WARSAW (feat. 2forwOyNE),2ihL1KGMA0geIqGT5pkZzo,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",Jack Harlow
Little Lion Man,6JnufVNLIO5F5Lk4sEVLeI,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
Drunk On A Plane,1soxUgYIZb1qx1c7o1Lc7z,"['contemporary country', 'country', 'country road']",Dierks Bentley
American Nights,6B4LAyly39cv8Cat9nHObl,['contemporary country'],Morgan Wallen
Almost,0CKt2RA2gYQqUKejm0Rq0m,"['contemporary country', 'country', 'country road', 'modern country rock']",Thomas Rhett
When to Love You (feat. Chelsea Cutler),4jDXAkJLq1U085mcWWZSnc,[],Andrew Luce
Cocaine,0ZjWz3lufHaVRXURSspnfw,"['deep underground hip hop', 'indie pop rap', 'pop rap']",Jez Dior
No Sleep,3Gx7WuEtEvd2CSCFeUPpCL,"['bass trap', 'new french touch', 'tropical house']",Trinix
Schools Out,75XkVxxfzftR2z1UQrR8sC,"['bass trap', 'electronic trap', 'future bass', 'indian edm', 'traprun', 'vapor twitch']",MEMBA
Show Me,5HVfliRqdKxMCDKyEnqqeY,"['vapor soul', 'vapor twitch']",Akacia
Nobody Compares To You - Tyzo Bloom Remix,7b27wNygSZ8aTZyHHriYL8,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Gryffin
Overthinker,4K9xid96G3YmIvQZXN9SXg,"['edm', 'future bass']",INZO
I'd Love To Change The World - Matstubs Remix,6ce17pZwsMcYNab5IaC5MQ,['metropopolis'],Jetta
Off Deez (with J. Cole),3JAeYOjyJodI4PRs44lx2l,"['hip hop', 'rap', 'underground hip hop']",JID
Loup (Hide It Away),0eNgkMkysu0CEDJBORUQmJ,['deep new americana'],Quiet Hollers
Charlie Boy (Live from CO),6ldVSFPHoBuqEbvqtaJSNt,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']",Danny Ocean
Wild Girl,3IqwOIVNLdBs7av6n8Plrt,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",Kito
Often,4RdBZE3BH44wZXoj2vmjez,['alternative r&b'],Abhi//Dijon
Naeem,1ff60tDWdcdVN6PtKQXWny,"['pop', 'post-teen pop']",Bon Iver
No Such Thing as a Broken Heart,0OlS52TmtK2gPaEtdmr7DN,"['contemporary country', 'country', 'country road']",Old Dominion
Written in the Sand,2A69wys3S9uiPSmn6UZWJn,"['contemporary country', 'country', 'country road']",Old Dominion
One Man Band,08dFHFTx6r67MTsYn5ilDR,"['contemporary country', 'country', 'country road']",Old Dominion
I'm Not Alright,4otVP2TcJliXWq2GjkvWkR,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Loud Luxury
Olivia,5dONhl6aXFuN86UBdayF6W,"['boy band', 'pop', 'post-teen pop', 'talent show']",One Direction
Golden,45S5WTQEGOB1VHr1Q4FuPl,"['pop', 'post-teen pop']",Harry Styles
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,"['pop', 'post-teen pop']",Harry Styles
XO,7cpCU3Denug5NGZsSpQl8v,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
Don't Blame It On Whiskey,5oO04b2Tw12Ey5XVMXFqyR,"['contemporary country', 'country', 'country road', 'modern country rock']",Jon Pardi
Make Me Wanna,69DR48pXzSabFUfQfDDJDb,"['contemporary country', 'country', 'country road', 'modern country rock']",Thomas Rhett
Piano Man,70C4NyhjD5OZUMzvWZ3njJ,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",Billy Joel
Win You Over (feat. Soak),7piA9DxQTCKwxXWOOK7zXZ,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house', 'vapor soul', 'vapor twitch']",Whethan
Violence),2tpggu2I0gzR4cHBQRuHj6,[],Dijon
CRYBABY :*(,0psWKCR3qW2qqyCTAbCFtO,[],Dijon
Nico's Red Truck,4zHC1zzSAV2xR7OlUqo2Oz,[],Dijon
Drunk,2cUV93Y7FLGR42ycRRf0bL,[],Dijon
Skin,467t3218y3yihFcyDGWjr0,[],Dijon
Remember Me,630Ug0XtmhhFvAKo0PNuEI,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",UMI
Marceline,0RCpze7hmowZIGUJs9Dm7w,"['pop', 'post-teen pop']",WILLOW
Above the Clouds,02p9EeaQinGbAJHSOnn6ws,"['edm', 'electropop', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']",SŸDE
Sanctuary,3xaugmCyXrVkrDTXbFkMW3,"['alternative r&b', 'viral pop']",Joji
Let Go Today,3FUWD1PXnb6wxRpxqEp1zc,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie poptimism', 'la pop', 'pop']",Shoffy
Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,"['pop', 'post-teen pop']",Harry Styles
Solace,0hCjFmHUi6BtJO6FjYgDYf,"['australian electropop', 'indietronica']",RÜFÜS DU SOL
Line Of Sight - Chet Porter Remix,362ahttDO5f8E5cDF6Gcq8,"['chillwave', 'ninja']",ODESZA
Treat You Better - Single Edit,5lzHDkFLN01bKatvKQC0lO,"['australian electropop', 'indietronica']",RÜFÜS DU SOL
Your Tempo,4fHBQYB1GIWVQTl84yF08D,"['edm', 'electronic trap', 'electropop', 'vapor twitch']",Kasbo
More Than Friends,5JEnzGH3C2PnNnKZwjyLyJ,['indie electropop'],Andrey Azizov
Across The Room - Yung Heat Rendition,312diRT7oDbrkY5F7JH609,"['chillwave', 'ninja']",ODESZA
Tangerine Skies,0V31AEsMGwX9nKJn70zy0n,"['indie anthem-folk', 'montreal indie']",Edwin Raphael
Frankenstein,2dN1s2HkuZMfjoT2QNHBy4,"['bedroom pop', 'indie anthem-folk']",Angus Maude
WILD,5Ga3CEWbxx7d5DowD2HUHD,[],Dijon
Into Something,3DKeq09Kmaqm8lXSsaMFWO,[],smle
Sleep Alone (feat. Ella Boh),7uGtN1U8xuycWLEBHlwNDz,[],Ella Boh
Groceries,4x0pNOZ5r6kJMjsvsoliBm,"['alternative dance', 'edm', 'indie poptimism', 'indie soul', 'indietronica', 'nu disco', 'pop', 'tropical house']",Mallrat
Rich Girl,0qRR9d89hIS0MHRkQ0ejxX,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Daryl Hall & John Oates
Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,"['australian pop', 'pop']",Tones And I
Floating (feat. Khalid) [filous Remix],3Vtl4Xc9cKVs1UoenXtScn,"['alternative r&b', 'electropop', 'etherpop', 'pop', 'post-teen pop', 'r&b']",Alina Baraz
Cut Your Teeth - Kygo Remix,1y4Kln6VEjQMpmHW7j9GeY,"['metropopolis', 'shimmer pop', 'tropical house']",Kyla La Grange
Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,"['bedroom soul', 'pop']",Surfaces
Lost (feat. Chelsea Jade),50pEs4BEQlgoZo6rKHNtEA,"['edm', 'electropop', 'future bass', 'indie poptimism', 'pop dance', 'pop edm', 'tropical house', 'vapor soul', 'vapor twitch']",Jai Wolf
Suffer,2waH47ZaqIWDk976W9Lqf8,"['new french touch', 'tropical house']",Petit Biscuit
Whatever You Want,51zNBPna773TdunfRtIhZ5,['vapor soul'],Vasser
Notorious,74cvkvTVxAXCew97vBnYiy,"['bass house', 'edm', 'electro house', 'electronic trap', 'house']",Malaa
The Morning,6u0dQik0aif7FQlrhycG1L,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
Underwater,5ZvHcR4OSwvEV5IhigbTOT,"['australian electropop', 'indietronica']",RÜFÜS DU SOL
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",MEDUZA
Talk - Disclosure VIP,3uXHSf9sSIpOJWuC1H8DiU,"['electropop', 'pop']",Khalid
Final Song - Diplo & Jauz Remix,0gahmokctHhYjyR3ZUGr7L,"['lgbtq+ hip hop', 'pop rap']",MØ
What Now,0aUWfpD3PlSv3FTTKcT2rN,"['detroit hip hop', 'hip hop', 'rap']",Rihanna
Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,"['house', 'pop dance', 'tropical house']",Elderbrook
Please Don't Go,6jg5SRvdGxvJ0DzNV0UqEK,"['dance pop', 'pop', 'pop rap']",Mike Posner
everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,"['electropop', 'pop']",Billie Eilish
Free (with Drew Love),64BKKgWdKdmKlQDzRfHW3C,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",Louis The Child
Chasin' You,5MwynWK9s4hlyKHqhkNn4A,['contemporary country'],Morgan Wallen
Burn Out,3AtVFkmdR1eS5TEHLJZxFm,"['neo-traditional country', 'texas country']",Midland
Springsteen,05ZACkzW8YbRq3eFgIfSNB,"['contemporary country', 'country', 'country road', 'modern country rock']",Eric Church
Lover,1dGr1c8CrMLDpV6mPbImSI,"['pop', 'post-teen pop']",Taylor Swift
Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,"['pop', 'post-teen pop']",Taylor Swift
Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,"['dance pop', 'pop', 'post-teen pop']",Selena Gomez
Pussy Is God,6VCeywT4JeawuZOUkQ1okx,"['alt z', 'dance pop', 'electropop', 'indie pop', 'indie poptimism', 'nyc pop', 'pop', 'post-teen pop']",King Princess
Dancing On My Own - Tiësto Remix,014J7jX1wSv0manSdRnveo,"['indie cafe pop', 'pop']",Calum Scott
Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",Alessia Cara
Drugs & The Internet,08MK0puV4ESIZ7vKjiCppb,"['dance pop', 'electropop', 'pop', 'post-teen pop']",Lauv
Make It Right (feat. Lauv),314ZkcV7oLWG8yWE7LABvH,"['k-pop', 'k-pop boy group']",BTS
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
Feelings,0y675KDleCZEudjoeL1sQQ,"['dance pop', 'electropop', 'pop', 'post-teen pop']",Lauv
Sold Out Dates (feat. Lil Baby),55WLWX71YkHt2tSucNIf1g,"['pop rap', 'rap', 'trap']",Gunna
I Wanna Know,4ToogKQq58R9TvO40qRuxi,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance']",RL Grime
You Belong With Me,3GCL1PydwsLodcpv0Ll1ch,"['pop', 'post-teen pop']",Taylor Swift
You and I,4oeRfmp9XpKWym6YD1WvBP,"['acoustic pop', 'ectofolk', 'indiecoustica', 'lilith', 'neo mellow', 'pop', 'pop rock']",Ingrid Michaelson
Don't Leave - Gryffin Remix,2ygxpFIvfVzti5zcpkSmue,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",Snakehips
Nothing Like You (feat. HANA),0nC1pxQNPsQwW2keoIFBnx,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Gryffin
Follow God,2QpGZOhTCHHiKmpSO9FW4h,"['chicago rap', 'rap']",Kanye West
Just a Friend,3yNVfRQlUPViUh8O2V9SQn,"['east coast hip hop', 'electro', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']",Biz Markie
Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,"['british soul', 'dance pop', 'europop', 'pop', 'post-teen pop', 'talent show']",Leona Lewis
Somewhere On A Beach,5CG9Ps5ynNjpKJHmwc95pa,"['contemporary country', 'country', 'country road']",Dierks Bentley
Country Girl (Shake It For Me),0yD66650JxhqKbW76C2qCo,"['contemporary country', 'country', 'country road']",Luke Bryan
So Close,7FjZU7XFs7P9jHI9Z0yRhK,"['alt z', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",NOTD
Dancing With A Stranger (With Normani) - Cheat Codes Remix,0GfS3y8Jd7SHWd9R51s7Fo,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",Sam Smith
California - Chris Lake & Matroda Remix,3i9Tr3Vp2gjT8EsVKGt1N3,"['bass house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive house', 'tropical house', 'vapor twitch']",SNBRN
W2LEEZY,6vN61JHkrDJYYhupL4y2tJ,"['melodic rap', 'vapor trap']",Justin Rarri
Lockjaw (feat. Kodak Black),7iaw359G2XT14uTfV9feip,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",French Montana
My Klik (feat. John Wicks & JackBoy),1MFV8Xs2GQSvkWBXtbgAul,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Unexplainable,23sTo4xL7IuKBOcMEdDWDb,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Need a Break,2rrKdtGXerKdVv0DtTRr3G,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
6th Sense,187HvvI7TMhA5Msqqxqo4O,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Change My Ways,7hq6qrZNdWmBLCeNeEtSG7,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Versatile,0puKS9mGfltVLx23BGyfmi,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Twenty Two and Some Change,2DH4o8galauNSIlxyMITmC,"['indie cafe pop', 'indiecoustica']",Stephen Day
Hannah Hannah,7n48Dr7f6shwiGn4SBvv4a,['deep new americana'],Próxima Parada
Cookies & Sherbert,7jLflxtzRPpeifPi4yIcZv,"['atl hip hop', 'hip hop', 'melodic rap', 'plugg', 'pop rap', 'rap', 'southern hip hop', 'trap']",Rich The Kid
Hello (feat. Dragonette),3sl4dcqSwxHVnLfqwF2jly,"['dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']",Martin Solveig
Up Down (feat. Florida Georgia Line),3EWMoDIm6lzuR0zQKtuCJX,['contemporary country'],Morgan Wallen
The Git Up,5dW1VZPcFqB4n0P08rGDgm,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'modern uplift']",Blanco Brown
Oh Nanana - Remix,69PqVX29aZhDGFlG2SKxFy,[],dj 6rb
Now Time,4ammhnRaT3yYHrN0OAYir2,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
This Groove,6ZvLKwgPKlyZtDPkTWjPI7,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",Oliver Heldens
$150 / roll widdit,2L9mXwt6vJ3FxVxf7jsGkd,"['alternative r&b', 'indie r&b', 'memphis hip hop']",Healy
Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,"['alternative pop rock', 'pop', 'pop rap']",Dominic Fike
Virtual (Blue Balenciagas),4dqkKnzOJ3fWduqKcHi374,"['melodic rap', 'trap']",YNW Melly
Great Summer - Soundtrack Version Genre Alternative,471RMuDrTQqwjdaZ3zLp9L,"['folk-pop', 'modern rock', 'pop', 'pop rock']",Vance Joy
Can I,6gcxng9dLaBV9EHNUDfYX1,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Fat Bottomed Girls,39sH8Fl415P7O8GRP1Td6Z,"['electropop', 'modern rock', 'pop', 'pop rap']",Queen
Panini,6fTt0CH2t0mdeB2N9XFG5r,"['lgbtq+ hip hop', 'pop rap']",Lil Nas X
Real Hitta (feat. Kodak Black),1fnRwgZLgAYMM1dVL1oqwG,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Plies
First Love,6utv1xxjU7R8nMSzYBPsnz,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Calling My Spirit,2MShy1GSSgbmGUxADNIao5,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Don't Wanna Breathe,567CrVjCl2p3qmZqMKfOD9,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black
Sorry,6y1UtRcHQU07aUs3oxZ8Yn,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",Joel Corry
Myself,2cvOfKHOHgwQlLiuLKP2xR,"['dfw rap', 'melodic rap', 'rap']",Post Malone
Allergic,1YscJ7yVTlFxW3eF6pv5ba,"['dfw rap', 'melodic rap', 'rap']",Post Malone
Circles,21jGcNKet2qwijlDFuPiPb,"['dfw rap', 'melodic rap', 'rap']",Post Malone
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,"['pop', 'uk pop']",Ed Sheeran
Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,"['album rock', 'classic rock', 'hard rock', 'rock']",Aerosmith
Higher Love,6oJ6le65B3SEqPwMRNXWjY,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
Remind Me to Forget,5sIx4BlfYGuZeSLF40N9GH,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
Hair Down (feat. Kendrick Lamar),6sq5mqtS3jwJjvBHALknJH,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",SiR
So High,3Q16xD0iciT7MZH4FTiCa4,[],Delus
Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Lil Baby
Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,"['bmore', 'dance pop', 'edm', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",Diplo
Holla If Ya Hear Me,4DejCtKBAlGJzgYmxqREY3,['underground hip hop'],Kweku Collins
Belly of The Beast,6KctApRdRLEEhzFJLhJfCr,"['pop rap', 'rap', 'trap']",Gunna
Just The Same,3xPZKgZeIPb8vHa1UJH5Rz,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",Charlotte Lawrence
Bright Lights,4C1pYi7k7SgQJFqeJ6nLHV,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']",Ziggy Alberts
Gone (The Pocahontas Song),6m8mbyoMIs5Tg8HNfStrjQ,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']",Ziggy Alberts
