,name,uri,genres
41,Dust On The Bottle,0Xg68XXMRWzKQvD5S6BFvI,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
42,Diamond In My Pocket,24Nt4OalWDICkEKVy81X6k,"['contemporary country', 'country', 'country road', 'texas country']"
43,Lonely For You Only,7B9VK5iBDUVZW8o66DyU8f,"['contemporary country', 'neo-traditional country', 'texas country']"
44,Drinkin' Problem,1vBpwxsLVwaR4evBIaFmqD,"['contemporary country', 'neo-traditional country', 'texas country']"
45,At Least You Cried,6y0mAMhVwWpbqQyWeBWDbp,"['contemporary country', 'neo-traditional country', 'texas country']"
46,Burn Out,7yrJnekdlwWARt5lmVqJ6L,"['contemporary country', 'neo-traditional country', 'texas country']"
47,Wake up Loving You,1E1LaXgZRkBOljpGXtlR7B,"['contemporary country', 'country', 'country road']"
48,If You Ain't Here To Party,7mu21H4g5sGUX7n3tGsGig,"['contemporary country', 'country', 'country road']"
49,Beer Can,5k8m3ZCp3AP4TKd2IKzKO8,['contemporary country']
50,Mr. Lonely,3sEa95MTLJ8JcoP5A97bWl,"['contemporary country', 'neo-traditional country', 'texas country']"
51,Break Up in the End,5Z19ylxppfnfdP4JH0u8oj,"['contemporary country', 'country', 'country road', 'modern country rock']"
52,Boys 'Round Here (feat. Pistol Annies & Friends),39FwE8edwuyiaa4PrGBkP7,"['contemporary country', 'country', 'country road', 'oklahoma country']"
53,Mr. Misunderstood,79dlQxvdsCDApoM8XChkpy,"['contemporary country', 'country', 'country road']"
54,Knives Of New Orleans,3QYXgYgff77dt42xLnhUaf,"['contemporary country', 'country', 'country road']"
55,I Met a Girl,4WtkYdCG4n80h08Ep5SmDI,"['contemporary country', 'country pop', 'modern country rock']"
56,That's Why God Made Mexico,3T0Q0Lq00xlDtelL6iQ0kf,"['pop', 'post-teen pop']"
57,Watch The Wind Blow By,6Os7cO6a6UeglnpIKidRjh,"['pop', 'post-teen pop']"
58,Out Of Sight,1pxdS67xTNTsxDtGzDOiv7,"['contemporary country', 'neo-traditional country', 'texas country']"
59,What Happens In A Small Town,3g9OCNXY2aSbGRQGY17qVE,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
60,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,"['contemporary country', 'country', 'country road']"
61,Dive - Recorded At Sound Stage Nashville,2VWBdFsDJVGlRTdz4PvYwy,['contemporary country']
62,Castle On The Hill - Recorded at Sound Stage Nashville,71R7NckyIlOd8fJzoZIJfR,"['contemporary country', 'country', 'country road', 'modern country rock']"
63,East Bound And Down,5JelBZwTfs9LZAUbeeVbqd,"['contemporary country', 'neo-traditional country', 'texas country']"
64,This Old Heart,35sSKJFvWxfNCfZFsWoBy2,"['contemporary country', 'neo-traditional country', 'texas country']"
65,Tougher Than The Rest - Recorded At Sound Stage Studios Nashville,76v3BntynHQflWb5ptBgV4,"['contemporary country', 'neo-traditional country', 'texas country']"
66,Drink A Beer,3Qj2YJB1KmgXr5SutGokdb,"['contemporary country', 'country', 'country road']"
67,All My Friends Say,539dFCMA8lfEElDPgGpcIB,"['contemporary country', 'country', 'country road']"
