name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad
"Courtesy Of The Red, White And Blue (The Angry American) BY Toby Keith...",0.5656390047486515,0.29054054054054046,0.613219094247246,2.8027681660899655e-06,0.044988464496283014,0.722025681341719,0.031304903370068686,0.342668955219715,0.3185011709601874,0.18553218,0.14410093,0.14611049,0.5242564
Nowhere Fast BY Old Domini...,0.4972271479965642,0.7837837837837839,0.4002447980416156,7.54325259515571e-06,0.049089976928992564,0.6062631027253669,0.008944258105733911,0.274382160449896,0.44262295081967207,0.4215229,0.041437365,0.09292064,0.44411916
One Man Band BY Old Domini...,0.7241807680153937,0.6702702702702702,0.24847001223990203,0.0,0.09638554216867468,0.5398977987421383,0.020124580737901285,0.09300735406985677,0.433255269320843,0.47682807,0.007468563,0.025911134,0.48979217
Beautiful Crazy BY Luke Combs...,0.7339538904085491,0.4621621621621622,0.2962056303549572,0.0,0.07177646757241732,0.5985980083857442,0.005270723526593198,0.2837177823362778,0.3161592505854801,0.28944936,0.011398038,0.020271933,0.6788807
She Used to Be Mine BY Brooks & D...,0.2811325528590184,0.3810810810810811,0.5018359853121174,6.314878892733565e-06,0.0757498077416047,0.698506289308176,0.01804823510621307,0.7694352576715369,0.2154566744730679,0.119599305,0.22793671,0.09232626,0.5601377
Break Up in the End BY Cole Swind...,0.5222029052235166,0.4027027027027027,0.25948592411260707,0.0,0.300179441168931,0.5329533542976939,0.01181919821114838,0.1658642776405576,0.16978922716627634,0.27805182,0.025188843,0.019949373,0.67680997
That's Why God Made Mexico BY Tim McGraw...,0.7871631123268391,0.6121621621621621,0.21419828641370872,0.0,0.1271468854139964,0.5000655136268343,0.012458073790129372,0.028118502393212563,0.09367681498829039,0.36646086,0.0042090756,0.004031517,0.6252985
Dive - Recorded At Sound Stage Nashville BY Luke Combs...,0.7285243779679071,0.7202702702702702,0.24847001223990203,2.474048442906575e-06,0.138682389130992,0.5490041928721173,0.008465101421498158,0.47634696696948126,0.27985948477751754,0.32979202,0.005893127,0.008896566,0.6554183
Drink A Beer BY Luke Bryan...,0.8946674586515478,0.4797297297297296,0.30966952264381875,7.439446366782007e-05,0.19251473981030504,0.5820230607966457,0.0194857051589203,0.10782015322141753,0.19672131147540986,0.30211148,0.004973939,0.006768238,0.6861464
My Religion BY Dierks Ben...,0.8794648238177508,0.37702702702702695,0.2680538555691554,6.937716262975779e-05,0.04434760317867214,0.39681603773584906,0.04232550710749081,0.16036616848774093,0.14637002341920372,0.3951021,0.004816451,0.0070045674,0.59307694
