name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad
You Look So Good In Love BY George Str...,0.47225139076961165,0.5851351351351352,0.0893512851897185,0.0,0.08741348372212251,0.0,0.011020603737422134,0.36173790485759344,0.2587822014051522,0.69326055,0.0073664584,0.020167414,0.27920562
Knee Deep (feat. Jimmy Buffett) BY Zac Brown ...,0.46899368330522656,0.6837837837837837,0.5189718482252141,2.4394463667820072e-06,0.07459625736990516,0.5461871069182389,0.010701165947931641,0.19771563332914693,0.5831381733021077,0.37505496,0.07008052,0.3108144,0.24405013
American Remains BY The Highwa...,0.5102579778541045,0.6405405405405405,0.41003671970624234,0.0001207612456747405,0.1540630607536529,0.1762971698113207,0.03082574668583294,0.2745565928468762,0.48711943793911006,0.63444084,0.026731241,0.14809205,0.19073585
Meet In the Middle BY Diamond Ri...,0.7198371580628802,0.7256756756756756,0.34638922888616885,0.0,0.23865675467828762,0.34479821802935007,0.02076345631688229,0.19857384072228962,0.5175644028103045,0.6299505,0.008372101,0.053651128,0.30802628
Small Town Southern Man BY Alan Jacks...,0.13019210700917477,0.6405405405405405,0.3402692778457772,1.4688581314878894e-05,0.2976159958984876,0.27089884696016775,0.00559016131608369,0.49051087760427564,0.5339578454332552,0.3682596,0.102417536,0.33578682,0.19353598
Drive (For Daddy Gene) BY Alan Jacks...,0.3669188494211597,0.681081081081081,0.5128518971848224,0.0,0.1758523455524224,0.5569968553459118,0.029388276633125703,0.43628333403106295,0.4672131147540983,0.3284048,0.1169135,0.22771674,0.32696503
Better Together BY Luke Combs...,0.8968392636278046,0.46351351351351355,0.07955936352509177,0.0,0.09510381953345295,0.3319575471698113,0.03961028589682159,0.5257531990901607,0.6533957845433255,0.50995755,0.0015488166,0.020649701,0.46784395
Panama Red BY Old & In T...,0.502656660437206,0.47837837837837827,0.2533659730722154,0.7750865051903115,0.45911304793642654,0.01834381551362685,0.021402331895863276,0.33326356037454125,0.8700234192037469,0.91182256,0.0040587056,0.077367425,0.0067513394
Heading South BY Zach Bryan...,0.8382005292688727,0.6243243243243244,0.10159118727050184,0.0,0.09766726480389643,0.1590670859538783,0.060373742213703875,0.33073080197038834,0.28805620608899296,0.5751636,0.0021978216,0.00677465,0.41586396
Talk To Me Right BY Cody Johns...,0.6850882784427723,0.6743243243243242,0.3255813953488371,2.508650519031142e-06,0.0801076647013586,0.2452175052410902,0.009263695895224404,0.361723950265835,0.730679156908665,0.6398969,0.008029382,0.14798088,0.20409273
I've Been Better BY Brad Paisl...,0.2876479677877886,0.7189189189189188,0.4406364749082007,4.792387543252596e-06,0.28479876954627015,0.4337657232704403,0.002236064526433476,0.2980979891433276,0.48243559718969553,0.3956223,0.09520154,0.24699257,0.26218358
Friendship BY Chris Stap...,0.7904208197912242,0.6364864864864865,0.21297429620563038,0.0008494809688581315,0.09638554216867468,0.3402122641509434,0.02299952084331576,0.46661363921798477,0.43442622950819665,0.5193753,0.0037738937,0.01740032,0.45945045
A Simple Song BY Chris Stap...,0.944618973105453,0.5432432432432432,0.046511627906976744,0.0007474048442906575,0.09254037426300948,0.0028170859538785287,0.008944258105733911,0.10222436192629186,0.35128805620608894,0.5662514,0.002092246,0.011741735,0.4199146
Matagorda Bay BY Josh Abbot...,0.47659500072212513,0.7486486486486487,0.47123623011015914,0.0,0.12073827223788772,0.575406184486373,0.009583133684714897,0.3652823711642316,0.5046838407494145,0.3964953,0.059442513,0.16703555,0.37702656
The Life BY Kenny Ches...,0.6188482266669416,0.7945945945945946,0.4528763769889841,0.0003494809688581315,0.08997692899256599,0.5039308176100629,0.003354096789650214,0.2742286599405535,0.7142857142857142,0.49885708,0.02235694,0.22820342,0.25058255
"Easy Come, Easy Go BY George Str...",0.6535971062870496,0.795945945945946,0.38188494492044056,0.009636678200692042,0.052935144834657784,0.38273060796645697,0.00942341478996965,0.30714754189866184,0.7353629976580796,0.6080745,0.011830057,0.17093018,0.20916523
Still Out There Running BY Nathaniel ...,0.7904208197912242,0.7013513513513513,0.3378212974296205,0.00029238754325259516,0.13996411176621376,0.3275681341719078,0.021242613001118037,0.31653898215207715,0.3114754098360656,0.5638444,0.0060263705,0.017311439,0.41281787
Bury Me In Dixie BY Riley Gree...,0.35171621458736246,0.6445945945945947,0.10771113831089349,0.0,0.06293258138938734,0.49410377358490565,0.02603417984347548,0.14537195964332067,0.5644028103044496,0.4894939,0.023620628,0.0972527,0.3896327
Wildfire BY Mandolin O...,0.7513283302186029,0.5932432432432433,0.23500611995104034,0.46020761245674746,0.08869520635734426,0.423087002096436,0.007826225842517166,0.4103277933604052,0.0714285714285714,0.79175544,0.004140227,0.002513645,0.20159069
All Around You BY Sturgill S...,0.66662793614459,0.6135135135135136,0.5728274173806609,1.0,0.40784414252755696,0.5073375262054507,0.010222009263695896,0.24179818869398978,0.3758782201405152,0.97320247,0.005314906,0.008219004,0.013263724
Turtles All the Way Down BY Sturgill S...,0.3321699698010518,0.4648648648648649,0.18849449204406363,0.001,0.08613176108690077,0.48159067085953866,0.02667305542245648,0.20269044529102304,0.5538641686182669,0.40206537,0.04525339,0.16801561,0.38466564
Doing Life With Me BY Eric Churc...,0.792592624767481,0.5905405405405405,0.5361077111383108,1.0155709342560554e-05,0.10407587798000512,0.4110980083857443,0.031304903370068686,0.12798453831233164,0.5784543325526932,0.5661047,0.018820377,0.15414578,0.2609291
Three Year Old BY Eric Churc...,0.7980221372081229,0.6972972972972973,0.197062423500612,0.0018166089965397925,0.07933863112022557,0.13436844863731656,0.05126976521322472,0.09990092239851528,0.5433255269320842,0.7263617,0.0040283003,0.039777618,0.22983241
The Great Divide BY Luke Combs...,0.6481675938464077,0.6243243243243244,0.6438188494492044,3.875432525951557e-06,0.31556011279159185,0.5436975890985324,0.006708193579300428,0.3374010968309122,0.509367681498829,0.3736702,0.06022568,0.213018,0.35308614
Joy Of My Life BY Chris Stap...,0.242040063286397,0.5689189189189189,0.39779681762545893,0.092560553633218,0.08485003845167904,0.4987552410901467,0.01118032263216738,0.6040942772219198,0.3348946135831382,0.3712256,0.13401443,0.13568287,0.35907713
SAD! BY XXXTENTACI...,0.28004665037089,0.7175675675675676,0.5544675642594858,0.006435986159169551,0.1104844911561138,0.7657232704402515,0.19501677048394822,0.08633008191345365,0.42271662763466034,0.31685647,0.25494564,0.21241729,0.21578066
Everybody Dies In Their Nightmares BY XXXTENTACI...,0.9196432158785004,0.7094594594594594,0.5018359853121174,3.7024221453287196e-05,0.09638554216867468,0.6225104821802934,0.17585050311451844,0.469592944558407,0.6756440281030444,0.5663507,0.011245599,0.07399216,0.3484115
Kevin’s Heart BY J. Cole...,0.523288807711645,0.8378378378378378,0.4492044063647491,0.0,0.7615995898487568,0.6501572327044024,0.5495927168183996,0.3727899415302605,0.4250585480093676,0.7245191,0.04996597,0.02660977,0.19890516
ATM BY J. Cole...,0.12476259456853293,0.7608108108108108,0.4137086903304773,0.0,0.06793129966675213,0.5835298742138364,1.0,0.1337338301167999,0.27985948477751754,0.71457696,0.14726345,0.030814117,0.107345514
Casper BY Takeoff...,0.5699826147011651,0.9621621621621622,0.5471236230110158,1.9377162629757786e-06,0.1104844911561138,0.6008254716981132,0.2972368631209072,0.5401892242642441,0.7505854800936768,0.61684304,0.043228075,0.19878979,0.14113912
Barack Obama Special BY Bas...,0.15408196174799893,0.7121621621621621,0.39657282741738065,0.0,0.5026916175339656,0.5235849056603773,0.6613959431400736,0.28502253666568983,0.11943793911007025,0.6289546,0.21052605,0.02237852,0.13814092
REEL IT IN BY Aminé...,0.07915469006714135,0.7364864864864865,0.22276621787025705,0.0,0.20020507562163545,0.5169680293501048,0.12170579779587923,0.4628110129638157,0.3641686182669789,0.4025058,0.12857229,0.10211493,0.36680695
Ned Flanders (feat. A$AP Ferg) BY MadeinTYO...,0.027465731632230886,0.9824324324324324,0.41003671970624234,0.0,0.06434247628813122,0.6882861635220126,0.3291806420699569,0.539351948758739,0.2189695550351288,0.38395092,0.33066443,0.062141743,0.22324292
