,name,uri,genres,artist
805,So High (feat. Zumbi),50jFznrLnBBicIc3eal9OO,['reggae rock'],Rebelution
807,Waiting Too Long,4aVbFYIU67P8F5pqPakaXQ,"['edm', 'electronic trap']",Hippie Sabotage
808,The Weekend - Funk Wav Remix,0P6AWOA4LG1XOctzaVu5tt,"['dance pop', 'pop', 'pop rap']",SZA
809,Crazy,6Vz7vzOpCwKeSQlfViibuY,"['alternative metal', 'danish metal', 'danish rock']",Seal
810,Lost,3GZD6HmiNUhxXYf8Gch723,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Frank Ocean
811,Forever Being,3WCprEk7Se2cRukiOYzBVe,"['new french touch', 'tropical house']",Petit Biscuit
812,Oceans,5eXnC2B5RU5fAhfwvV2ABD,"['folk-pop', 'modern rock']",Seafret
813,You're Gonna Live Forever in Me,51lPx6ZCSalL2kvSrDUyJc,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
814,Roll it on Home,0Zrug5Ry3x6x60lohpEU0C,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
815,Rosie,5KsLlcmWDoHUoJFzRw14wD,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
816,Never on the Day You Leave,3TQbr3G3U5wlwEJejmqC1F,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
817,Moving On and Getting Over,1crSsvtU9wZB15dIQXV2QH,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
818,Changing,6eIygPhGcBFKKcxlGTJlY0,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
819,In the Blood,77Y57qRJBvkGCUw9qs0qMg,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
820,Love on the Weekend,0oiCeOPwm4zhwfyIpAE37y,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
821,Helpless,701DK0It9f7iurRnzKvF0y,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
822,Still Feel Like Your Man,1LM6t24SjQr2bJHqeGIR4U,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
823,Emoji of a Wave,5ddXMXmXZ2FN4iliTG20nO,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
824,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
825,Lullaby,5xzCzOAOfRi4DOttSzvznR,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",Sigala
827,Your Wish,2BrDCRU9QwdqXQiBdl2eSy,"['french indie pop', 'french indietronica', 'new french touch']",Talisco
828,Good Together,0HNCtRy85eByDaQI2K92Xn,"['electropop', 'indie poptimism', 'new french touch', 'tropical house', 'vapor soul']",Shallou
829,Older,07dQEivh1UNFqtWOnEpyUC,"['electropop', 'indie poptimism', 'new french touch', 'tropical house', 'vapor soul']",Shallou
830,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,['tropical house'],Surf Mesa
831,This Town,0qvzXomUDJVaUboy2wMfiS,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",Niall Horan
832,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",American Authors
833,Silhouettes,2ksNrDFXAMk9Y7xKK63Ouu,"['electropop', 'indie poptimism', 'new french touch', 'tropical house', 'vapor soul']",Shallou
834,Little Things (with Quinn XCII & Chelsea Cutler),1OeEpViPwVi1FfdNkOoIci,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",Louis The Child
835,Seasons,4xc1ldpyzRxtBqbui8POWd,[],Big Meez.
836,Home,4rsW3WCZBGwhHfJWuHRwyT,"['folk-pop', 'modern rock', 'neo mellow', 'pop rock']",Phillip Phillips
837,Nikes On,5z14e4rPImlgk40W33dt0U,"['alternative r&b', 'indie r&b', 'memphis hip hop']",Healy
838,Stay (feat. Maty Noyes),7gBj0VgcuAgkXkiRRYvSmK,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
839,Nothing Left (feat. Will Heard),0j0DNujXWeupLpZobbABoo,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
840,Sexual Healing - Kygo Remix,0r6b45jIxQGsaWU4t6OMol,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",Marvin Gaye
841,Cut Your Teeth - Kygo Remix,5Y3HmVn9SX73inOGfITcSn,"['metropopolis', 'shimmer pop', 'tropical house']",Kyla La Grange
842,Falling,1ZMiCix7XSAbfAJlEZWMCp,"['pop', 'post-teen pop']",Harry Styles
843,We Walk in the Garden,34feYd60CQK6akX8oM4bw2,"['anthem worship', 'christian indie', 'christian pop', 'indiecoustica', 'roots worship']",John Lucas
844,Halfway Up,5HsJGA8P5fPzR06i9FQKBr,"['alabama indie', 'indie folk']",The Brook & The Bluff
845,La La La,36pLU2ywVeBKEF0rrKtmCB,"['tropical house', 'uk contemporary r&b']",Naughty Boy
846,Talk,3oWRlVyOfJwk7E1QQlLe64,['lo-fi beats'],Verzache
847,Alright,4yxs5rxxngsA5vVcyiPKp0,['lo-fi beats'],Verzache
848,I Am the Antichrist to You,4d3pqEn7wgILCKDhUbv1wx,"['chamber pop', 'indie folk', 'indie pop', 'metropopolis', 'shimmer pop', 'stomp and holler', 'stomp and whittle']",Kishi Bashi
849,This Must Be the Place (Naive Melody) [by Talking Heads],0udJrKQOgJz6TwZXuhi7IM,"['chamber pop', 'indie folk', 'indie pop', 'metropopolis', 'shimmer pop', 'stomp and holler', 'stomp and whittle']",Kishi Bashi
850,Seasick Dream,1vL5bZNsFWVYED96IgWEIM,['neo mellow'],Jack Johnson
851,Love You 'Till the End - 2006 Remaster,0etUdU5dmPy7jOMS2tt5TG,"['celtic', 'celtic punk', 'celtic rock', 'folk punk', 'irish folk', 'punk']",The Pogues
852,Heart Attack,5e7H5e3BBsDJmygioSJMHF,"['folk-pop', 'indie anthem-folk', 'indie folk', 'indie pop', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",Wild Rivers
853,I'll Wait,6Q3K9gVUZRMZqZKrXovbM2,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
854,Elephant,6qZjm61s6u8Ead9sWxCDro,"['australian psych', 'neo-psychedelic']",Tame Impala
855,Dreams,66MGk6BwVMx5O1TJqDAX4Y,"['edm', 'electro house']",ZHU
856,All Night,2Bb3mu3lfUrcRoTi3IcvQc,"['alternative hip hop', 'atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']",Big Boi
857,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
858,Hold My Hand,1i1rNVtxbE7rdFfpHuNq2j,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",Jess Glynne
859,I'm Good,6ZiJwSdU9H22IVPzCVJqCf,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",Wafia
860,Hurts (feat. Louis The Child & Whethan),30Z12rJpW0M0u8HMFpigTB,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",Wafia
861,Little Bit Leave It,7n0gblWR0oKWSuOtWb0Nn7,[],Chris & Kem
862,Sympathy For The Devil,75zMKn5euxQdlkZgu4P42J,"['british invasion', 'classic rock', 'rock']",The Rolling Stones
863,Lost in My Mind,77hI6DJ12C9WohWk8XUhto,"['folk-pop', 'indie folk', 'indie pop', 'modern rock', 'new americana', 'seattle indie', 'stomp and holler']",The Head And The Heart
864,People Need A Melody,5tlu2nA8GxkDx8UTKG1rLV,"['folk-pop', 'indie folk', 'indie pop', 'modern rock', 'new americana', 'seattle indie', 'stomp and holler']",The Head And The Heart
865,Count Me Out,46oB4z00bx2WDbUgBl33nf,"['alternative r&b', 'indie r&b']",Chiiild
866,Back In My Body,0DlMSBJh9uo52DieTYVXLw,"['indie pop', 'pop']",Maggie Rogers
867,Retrograde,3lHtxy7keWMXYBQU5LkUXH,"['indie pop', 'pop']",Maggie Rogers
868,Die Trying,5JTAGruCIDyRLhKLwFkTnS,[],Michl
869,Feel My Needs,7nionv2ijjqUlg9m5iWPTc,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",WEISS
870,Inside Out,7qCZgvV98j6RjUULW1s1it,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'modern rock', 'nu metal', 'rock']",Spoon
871,Better Love - From The Legend of Tarzan - Single version,6LOGgSwHUaBp9MESQxbVBJ,"['irish singer-songwriter', 'modern rock', 'pop']",Hozier
872,Pour Another,0iv3qZHEXH3A8CDCt8FASm,"['alternative r&b', 'escape room', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b', 'vapor soul']",Nick Hakim
873,K Lo K (feat. Fivio Foreign),3TlrDcdC7ydI8mto84R1GW,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",Tory Lanez
874,Friends,3Y8JSCYjFznthCYb5HZ8lW,"['eau claire indie', 'indie folk', 'melancholia']",Flume
875,My Life,2NDZ6i6UfOUSKgFiTQKbnv,"['edm', 'electro house']",ZHU
876,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",Jack Harlow
877,Heartburn - Jarami Remix,4J2mpvxYoHzjUkCjn1WEfY,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",Wafia
878,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,"['folk-pop', 'indie folk', 'indie pop', 'modern rock', 'new americana', 'seattle indie', 'stomp and holler']",The Head And The Heart
879,Call It Dreaming,4ftYIbHbKSVZWyrveFHCNu,"['acoustic pop', 'chamber pop', 'indie folk', 'indie pop', 'neo mellow', 'stomp and holler']",Iron & Wine
880,Life In The City,5m5ujaIcyabeTxIV48Gx1D,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
881,Cleopatra,3MvtzgklFDhOAC3lQJR09S,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
882,Gale Song,31xsM9IYq8B2EWfiJUzyXW,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
883,Gun Song,02VxlOxetoqdcq2G7zHImz,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
884,Angela,5bodDpPolC3xlame0SVcDY,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
885,Sleep On The Floor,5MMZJtHOiH1RmQSSe3DJdg,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
887,No Words,2fk60nscnf7sDLcXxjDwUm,['electropop'],Big Wild
888,Purple Sand (My Home),4knUlOyIeFGKH1ObRzfRcl,['electropop'],Big Wild
889,Waterfalls,6qspW4YKycviDFjHBOaqUY,"['atl hip hop', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'pop rap', 'r&b', 'urban contemporary']",TLC
890,Mambo No. 5 (a Little Bit of...),6x4tKaOzfNJpEJHySoiJcs,['latin pop'],Lou Bega
891,Expressing What Matters,3FeVszrXFJCEcmbYWBZtRQ,"['house', 'pop', 'uk dance']",Disclosure
892,I'm Shipping Up To Boston,7rSERmjAT38lC5QhJ8hnQc,"['boston punk', 'boston rock', 'celtic punk', 'celtic rock', 'punk', 'skate punk']",Dropkick Murphys
893,Young & Alive,5RsKelNxucrDxgMbZ3vd3W,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",Bazzi
894,Ride It,2tnVG71enUj33Ic2nFN6kZ,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",Regard
895,Bliss,1M7ljwWwuyjoyA1M0PGJ3s,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",OTR
896,Sweatpants,4sRryr1aCDIbVdj2LnBwsR,"['dance pop', 'electropop', 'pop', 'post-teen pop']",Lauv
897,Purple Candy,7dMelypWXvdBG5RpRO1RJU,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'pop']",New Friends
898,Intro,0DAsxISzun85PbsqAfIzeC,"['emo rap', 'miami hip hop']",The xx
899,Supalonely,4nK5YrxbMGZstTLbvj6Gxw,"['alt z', 'nz pop', 'pop']",BENEE
900,Do U Wanna Get Down,55H1PZjLA0kWFs1BWDKOUi,"['deep disco', 'disco', 'philly soul', 'post-disco']",Late Nite Tuff Guy
901,Let It Go - Main,5nbyvqnN0qc3d2ghRHfOqA,"['deep house', 'disco house', 'latin house', 'soulful house', 'vocal house']",Louie Vega
902,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,"['pop rap', 'rap', 'trap']",Jet
904,Without You,1SUbExhoNkAI1SnLNIhh8M,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",John Newman
905,Love Me Again,5VSCgNlSmTV2Yq5lB40Eaw,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",John Newman
906,Say Something - Zac Samuel Remix,5QifrqmnjHzdOuBAheeeNU,"['canadian electronic', 'edm', 'electro house', 'electropop', 'indie poptimism', 'pop dance', 'pop edm', 'tropical house']",Karen Harding
907,Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",SAINt JHN
908,Silver Lining,0i5QVxsK3IvEDbUjTA64Li,"['indie folk', 'modern rock', 'stomp and holler']",Mt. Joy
909,Habitual,40qyPyljksBEqlNw5sW37T,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber
910,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber
911,It’s Only (feat. Zyra),1TSxLktSlIdEsjTGWB4Fub,"['chillwave', 'ninja']",ODESZA
912,No Less,2j1zYaCXkvrMjz7JCvccJi,"['alternative r&b', 'indie soul', 'uk dance']",SG Lewis
913,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,"['electropop', 'pop']",Khalid
914,Need Your Love (with Noah Kahan),6hciDCyJDYCsYQp2lH6kdA,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Gryffin
915,Lil Mama,2ruM3LyzFOnXfrjmEIFvut,"['latin', 'salsa', 'tropical']",DLG.
916,Reckless,3UJS9aEUbtYO8kMl1IK1r3,"['alternative r&b', 'indie r&b', 'memphis hip hop']",Healy
917,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Fleetwood Mac
918,Open Season,6XPC7ZNTJcnWzQaLZYe3od,"['alt z', 'alternative r&b', 'pop']",High Highs
919,Birthday Sex,4NpDZPwSXmL0cCTaJuVrCw,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Jeremih
920,Say So,3Dv1eDb0MEgF93GpLXlucZ,"['dance pop', 'pop', 'pop rap']",Doja Cat
921,Hate Me,0ggZlpnclTYDZta0zPGwFv,"['melodic rap', 'rap', 'trap']",Trippie Redd
922,Asshole,6aD0Es1eyfVqpYZKJm9WkC,"['cali rap', 'west coast trap']",Mike Sherm
923,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,"['dance pop', 'pop', 'uk pop']",DaBaby
924,Eye for an Eye,51o6ZEmuyDESow4gnsNJ7u,"['bc underground hip hop', 'canadian hip hop', 'indie hip hop']",Boslen
925,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Lil Baby
926,Wings,0MdSezTbC54SIPQkXrvHrp,"['cali rap', 'trap', 'underground hip hop']",Shoreline Mafia
927,The Devil Is A Lie,1FfxSgLHUkNCCLdZ7wrCTY,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Rick Ross
928,Broke In A Minute,2ZrAjMSmlbDIil0JaVgTHh,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",Tory Lanez
930,GATTI,40mjsnRjCpycdUw3xhS20g,"['rap', 'trap']",JACKBOYS
931,Icon,22nyEAEM29tcBRhukR089b,"['hip hop', 'pop', 'pop rap', 'rap']",Jaden
932,Do You Need Power? (Walk Out Music),4zaK7pzY7D5GkOlkT4i8ru,"['pop', 'post-teen pop']",Bon Iver
933,Dreams,4JGKZS7h4Qa16gOU3oNETV,"['irish rock', 'pop rock']",The Cranberries
934,All I Want,1v6svH1Fyx9C1nIt1mA2DT,['pop'],Olivia Rodrigo
935,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,['german pop'],Milky Chance
936,Oh Okay (feat. Young Thug & Lil Baby),38844QuZDlnt44uHPrSA3S,"['pop rap', 'rap', 'trap']",Gunna
937,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,"['cali rap', 'trap', 'underground hip hop']",Shoreline Mafia
938,Roses,6bUNEbXT7HovLW6BgPCBsb,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']",Outkast
942,Big Red Machine,1AJQrfsO59UOUspII9128Q,[],Aaron Dessner
943,Sh'Diah,5eT7tvilxqz057gmVNJWcQ,"['pop', 'post-teen pop']",Bon Iver
944,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,"['north carolina hip hop', 'rap']",Roddy Ricch
945,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,"['hip hop', 'rap', 'trap', 'underground hip hop']",Baby Keem
946,Virgil Discount,5jiJXFYMQpBfPr4N1Z46oI,"['dark trap', 'new orleans rap', 'underground hip hop']",T.R.U.
947,Split (Only U),1Q4jb2UjtWUDUojHsB8mLY,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",Tiësto
948,Love Song,3mtukCAgd0mE260QcBfXAX,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",311
949,"December, 1963 (Oh What a Night!)",52nIJgsNTmyMIEab5xU2yy,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'motown', 'northern soul', 'rock-and-roll']",Frankie Valli & The Four Seasons
950,You're the One,1ZJf6hZVPU1NoOPS5ThJvA,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",The Black Keys
954,NBAYOUNGBOAT,6K2anECyrckidwf5wxS78Q,['pop rap'],Lil Yachty
955,Blue Monday - 2016 Remaster,1RSy7B2vfPi84N80QJ6frX,"['art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",New Order
956,Vossi Bop,5DXKtoZLm31msT7tNGNHLG,"['pop', 'uk pop']",Stormzy
957,Forever Yours - Avicii Tribute,3o1CUVeHIid49sabk6A6Nf,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo
958,Motions,1wKOe7u5A4vaBtX5uCk2OU,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie poptimism', 'la pop', 'pop']",Shoffy
959,Cool Again,0xM6mdl0XX2qOqUZmVUp97,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie poptimism', 'la pop', 'pop']",Shoffy
960,Calm of the Sea,3M89My7YnyoOfq6TsJw2EI,"['alternative rock', 'modern rock', 'pop rock', 'rock', 'sacramento indie']",SHOR
961,Sirens,6KRdku38PJZtGbDRZsK8hG,"['alternative rock', 'modern rock', 'pop rock', 'rock', 'sacramento indie']",SHOR
962,Harmless Heart,07xH1WaaxQzAZkO1GNYk8u,[],Tom Martin
963,My Thoughts On You,0OkMj0czyhrDCIhOSLFpHK,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",The Band CAMINO
964,Forever,496cFi1qz79MwI0q6wKh2r,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
965,Wild Heart,6hPYxl1NM4D1XHjYWnk2Y1,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
966,If I Say,0kCXl1osqLn1lPQGSyB9d8,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
967,Picture You,2Ol7kKQl9x3yCD1vA3B4xh,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
968,Rose Of Sharon,0SwB9nk7EfDUnIGbz7Go9G,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
969,Slip Away,0NT1kKtulqe2aA5h9ECmK8,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
970,October Skies,3JD5xfa8pgJi0AzdRCRETW,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
971,The Wild,4W3LpDT8Z1DrlzOrLUkoo4,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
972,Beloved,5V0nHhlYIjUMfcSoJ5ziRD,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
973,42,1xjIDl9Eh5lBMjIRqMnAZL,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
974,Guiding Light,63J2iqaDDp92P1eZgvuELp,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
975,Heart,1IQgMSRjsLjVw5VZFeWcC0,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",OTR
976,Glass House,0TLJ5UTC9a4Bh11jSP469H,['nyc pop'],Morgan Saint
977,Bedroom,3LH6EfPCeySeuymuK2gWAO,['background piano'],Litany
978,Over My Head (Cable Car),29tIH81yDrPA9N7QdcOPJV,"['metalcore', 'pop punk', 'screamo']",A Day To Remember
979,Mockingbird,6fS1CEMY4LlvQNWuUMoWEQ,['new americana'],Ruston Kelly
980,Delta,39r3UkUOYMh9pPQmKSZnuE,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
982,Woman,7pEUVoZDoQg4NQwmMcyjhQ,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
983,Once A Day,26G5nmIx7Yvq79bIIluyZV,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
984,Hands,6CrnvqCxBKVWahSiQwOesM,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
985,That's On Me,0udOCZp7yk0Ml92C0k8H8D,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
986,Hand Me Downs,2Yv2mHzr5AQavVdwQjEokV,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
987,Woods,3Qa944OTMZkg8DHjET8JQv,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
988,Everybody,1OuN92HcVG6NVpWbeESNB3,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
989,I Can See,3R8CyhJfVjvgIROd5RSGhQ,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
990,Good News,1DWZUa5Mzf2BwzpHtgbHPY,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
991,Complicated,3WfSNAoj2D8C9noPSGZZFM,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
992,Circles,4jXl6VtkFFKIt3ycUQc5LT,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
993,Surf,1kwnxJNVl7cwcU98RvMBaR,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
994,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller
995,Po'ed Up (feat. Gunna),6mdMz0aTPcP4xPz4DOsp0W,"['dark trap', 'emo rap', 'melodic rap', 'sad rap']",Paris Shadows
996,Tuesday (feat. Drake),2znzyzlAUc8Z1Ikq9aFOcx,"['emo rap', 'lgbtq+ hip hop']",ILOVEMAKONNEN
998,Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",Kacey Musgraves
1000,Bad Bitch,1QPb3sFVfZlcrSHp9skszO,"['bass house', 'brostep', 'edm', 'electro house', 'fidget house', 'house']",Chris Lorenzo
1002,0122,7i4RFJsrRRzmxZubkccOIG,['alternative r&b'],Black Grapefruit
1003,Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,"['indie poptimism', 'pop']",Labrinth
1004,Fool of Myself,2m1EQGGjWt8z4rqcjyzFoR,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",The Band CAMINO
1005,The Box,0nbXyq5TXYPCO7pr3N8S4I,"['north carolina hip hop', 'rap']",Roddy Ricch
1006,All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Gryffin
1009,Lose Yourself,77Ft1RJngppZlq59B6uP0z,"['detroit hip hop', 'hip hop', 'rap']",Eminem
1010,VALENTINO,0c7K73roy6RW4ebDkf4yGh,['cali rap'],24kGoldn
1015,Inside of My Eyelids,4Y2QuvgYFm30gcsToZmojA,"['latin', 'salsa', 'tropical']",DLG.
1016,I Want You Back,4CbUtLtAcgLJ7mAIeooJS8,"['motown', 'soul']",The Jackson 5
1017,Rachael's Little Brother,2bH4EXqG4bm7EsKRSKC29R,"['pop', 'uk pop']",Stormzy
1018,WARSAW (feat. 2forwOyNE),2ihL1KGMA0geIqGT5pkZzo,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",Jack Harlow
1019,Little Lion Man,6JnufVNLIO5F5Lk4sEVLeI,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons
1023,When to Love You (feat. Chelsea Cutler),4jDXAkJLq1U085mcWWZSnc,[],Andrew Luce
1024,Cocaine,0ZjWz3lufHaVRXURSspnfw,"['deep underground hip hop', 'indie pop rap', 'pop rap']",Jez Dior
1025,No Sleep,3Gx7WuEtEvd2CSCFeUPpCL,"['bass trap', 'new french touch', 'tropical house']",Trinix
1026,Schools Out,75XkVxxfzftR2z1UQrR8sC,"['bass trap', 'electronic trap', 'future bass', 'indian edm', 'traprun', 'vapor twitch']",MEMBA
1027,Show Me,5HVfliRqdKxMCDKyEnqqeY,"['vapor soul', 'vapor twitch']",Akacia
1028,Nobody Compares To You - Tyzo Bloom Remix,7b27wNygSZ8aTZyHHriYL8,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Gryffin
1029,Overthinker,4K9xid96G3YmIvQZXN9SXg,"['edm', 'future bass']",INZO
1030,I'd Love To Change The World - Matstubs Remix,6ce17pZwsMcYNab5IaC5MQ,['metropopolis'],Jetta
1031,Off Deez (with J. Cole),3JAeYOjyJodI4PRs44lx2l,"['hip hop', 'rap', 'underground hip hop']",JID
