,name,uri,genres,artist
54,I Love Me,5D4368CnI6V8iMVeE8LyQA,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Russ
55,CIVIL WAR - Bonus,5tmu5pAFHkUSl8Fo8ncyA4,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Russ
56,Ordinary People,2ZA4uMlSZjaoWGFqP1tsLI,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",John Legend
57,So We Won't Forget,6dw8ETrtlFSrkzw6W8cWxN,['neo-psychedelic'],Khruangbin
58,Trap Queen - Afro Remix,1twGm8rVwwibQ7efImtiSI,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Fetty Wap
59,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys
61,Believe,4qv70aZ7svjYnEmNB4rvP0,"['ukrainian pop', 'ukrainian rock']",TVORCHI
62,Shit Crazy (feat. BIG30),2Kr11rtij0QQAaX6T5e4WB,"['dance pop', 'pop', 'pop rap']",Gucci Mane
64,So Caught Up,0g84356Up4bxwOKVvzq0Kh,['australian americana'],The Teskey Brothers
65,Pain and Misery,74MhYN5UyyDx0W2cbTUZYo,['australian americana'],The Teskey Brothers
66,Carry You,6ffJ9jgxnipGi0SBzDAbqY,['australian americana'],The Teskey Brothers
67,Forever You and Me,4GUaG3df9nbrj77GKEB76j,['australian americana'],The Teskey Brothers
68,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
70,Save Your Tears,5QO79kh1waicV47BqGRL3g,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
71,I'm Up,1qNEYOlDVjTWoINqQ5lQMR,"['chicago rap', 'melodic rap']",YoungBoy Never Broke Again
72,Ocean Drive,0b6wdul3A5sQNpIOv03OxP,"['dance pop', 'destroy techno', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house', 'uk dance']",Duke Dumont
73,Black & White,1R0Ig5KYrSGWvIoPzY4T3l,"['chicago rap', 'melodic rap']",Juice WRLD
